x,y,RSSI,lambda0,lambda1,lambda2,lambda3,lambda4,lambda5
58.0,24.0,-122.92109916344094,106.0,104.0,212.0,235.0,321.0,369.0
68.0,110.0,-115.99546740299078,181.0,190.0,254.0,211.0,378.0,375.0
82.0,41.0,-120.5332497068722,151.0,188.0,211.0,289.0,375.0,353.0
142.0,24.0,-121.56737487705783,121.0,108.0,248.0,220.0,399.0,371.0
189.0,104.0,-118.54721710816324,142.0,152.0,227.0,290.0,331.0,364.0
145.0,51.0,-118.91142202593554,168.0,180.0,232.0,241.0,334.0,335.0
130.0,27.0,-121.1056316614862,139.0,148.0,249.0,283.0,311.0,354.0
5.0,103.0,-123.0700436964008,195.0,170.0,293.0,291.0,385.0,347.0
52.0,48.0,-121.63277638940778,105.0,172.0,217.0,284.0,377.0,309.0
181.0,83.0,-118.62613912372231,192.0,140.0,256.0,222.0,383.0,357.0
174.0,87.0,-117.54213871089325,143.0,131.0,253.0,269.0,387.0,313.0
3.0,56.0,-124.31138948929305,156.0,127.0,255.0,221.0,347.0,359.0
68.0,94.0,-116.84149699394294,136.0,162.0,298.0,254.0,392.0,391.0
144.0,62.0,-117.50052053675503,163.0,178.0,264.0,287.0,326.0,347.0
4.0,0.0,-126.33401978615467,179.0,158.0,281.0,206.0,358.0,308.0
175.0,86.0,-117.73689538946817,129.0,148.0,247.0,221.0,360.0,307.0
169.0,21.0,-122.5956185528996,165.0,160.0,218.0,255.0,359.0,330.0
70.0,29.0,-122.05722310150097,177.0,164.0,291.0,241.0,300.0,349.0
157.0,28.0,-121.6241578175339,132.0,158.0,236.0,279.0,311.0,398.0
93.0,63.0,-117.57273498371922,187.0,195.0,299.0,254.0,400.0,392.0
155.0,31.0,-121.29775385195879,142.0,182.0,286.0,206.0,333.0,398.0
82.0,22.0,-122.16593907820453,148.0,115.0,277.0,288.0,334.0,381.0
81.0,29.0,-121.62767318474761,127.0,164.0,203.0,220.0,312.0,353.0
55.0,39.0,-122.06037569976857,174.0,162.0,293.0,243.0,366.0,397.0
161.0,1.0,-123.77666809990271,121.0,157.0,261.0,221.0,397.0,364.0
146.0,12.0,-122.65233015661087,130.0,187.0,291.0,297.0,376.0,370.0
166.0,87.0,-116.53849364499351,156.0,117.0,297.0,260.0,318.0,367.0
166.0,25.0,-122.18545039496658,129.0,117.0,257.0,204.0,379.0,376.0
122.0,16.0,-122.06507592540044,115.0,128.0,277.0,238.0,373.0,397.0
189.0,45.0,-121.85961793515469,189.0,106.0,260.0,275.0,334.0,341.0
40.0,20.0,-123.94705792384389,193.0,116.0,242.0,253.0,372.0,319.0
70.0,19.0,-122.79472149730987,163.0,193.0,262.0,293.0,350.0,308.0
188.0,76.0,-119.77451399456706,166.0,105.0,272.0,253.0,335.0,389.0
13.0,80.0,-122.91536521841627,194.0,114.0,240.0,217.0,383.0,337.0
31.0,66.0,-122.08089371942103,190.0,179.0,270.0,246.0,399.0,327.0
31.0,17.0,-124.49715965159967,199.0,173.0,241.0,264.0,367.0,334.0
77.0,14.0,-122.92809083024298,163.0,181.0,280.0,279.0,322.0,302.0
48.0,12.0,-124.06810779525671,107.0,111.0,249.0,269.0,345.0,364.0
113.0,107.0,-104.61852473844334,160.0,144.0,225.0,251.0,371.0,383.0
21.0,47.0,-123.58391889034812,138.0,148.0,261.0,286.0,392.0,314.0
176.0,51.0,-120.6246672470566,186.0,188.0,222.0,218.0,366.0,392.0
93.0,30.0,-121.15546178432407,177.0,189.0,258.0,232.0,391.0,384.0
75.0,30.0,-121.77427034928286,124.0,152.0,223.0,294.0,369.0,398.0
119.0,15.0,-122.15069109876586,120.0,106.0,216.0,200.0,392.0,323.0
14.0,32.0,-124.60521004104604,135.0,198.0,254.0,259.0,380.0,314.0
2.0,46.0,-124.70331511962081,165.0,176.0,293.0,234.0,378.0,335.0
112.0,34.0,-120.39297134070509,141.0,119.0,277.0,208.0,301.0,398.0
154.0,29.0,-121.4395359389315,148.0,148.0,244.0,281.0,323.0,312.0
56.0,83.0,-119.00104311692101,157.0,135.0,251.0,216.0,391.0,366.0
56.0,44.0,-121.66193879011826,128.0,154.0,264.0,244.0,379.0,370.0
159.0,5.0,-123.45339389039597,114.0,119.0,247.0,285.0,386.0,375.0
182.0,58.0,-120.49968940052685,138.0,176.0,221.0,281.0,363.0,321.0
73.0,39.0,-121.12828511148493,123.0,155.0,244.0,265.0,386.0,304.0
118.0,42.0,-119.47629151120054,169.0,185.0,300.0,223.0,373.0,398.0
62.0,54.0,-120.55570863996724,190.0,129.0,257.0,296.0,312.0,361.0
44.0,98.0,-119.60793894873524,127.0,156.0,227.0,244.0,391.0,376.0
173.0,92.0,-117.04783870906718,100.0,138.0,201.0,226.0,397.0,362.0
147.0,78.0,-115.4272973361918,127.0,188.0,224.0,246.0,345.0,301.0
162.0,6.0,-123.45703901502961,163.0,138.0,255.0,266.0,332.0,358.0
145.0,53.0,-118.67747014117211,186.0,134.0,287.0,288.0,354.0,330.0
149.0,0.0,-123.60441769844994,124.0,137.0,217.0,207.0,336.0,359.0
172.0,89.0,-117.14031961526504,119.0,188.0,251.0,247.0,320.0,304.0
135.0,97.0,-110.03725294484678,174.0,182.0,210.0,271.0,302.0,330.0
162.0,95.0,-115.20424686609994,158.0,122.0,233.0,271.0,348.0,301.0
166.0,15.0,-122.93137917932137,187.0,198.0,218.0,280.0,322.0,344.0
75.0,0.0,-123.95178335904131,155.0,109.0,228.0,234.0,347.0,379.0
53.0,107.0,-118.27638349539995,187.0,193.0,270.0,223.0,387.0,317.0
137.0,106.0,-108.00567743141394,157.0,188.0,211.0,275.0,355.0,398.0
35.0,5.0,-124.94111494735827,102.0,196.0,244.0,209.0,377.0,357.0
71.0,11.0,-123.32269532238791,105.0,125.0,245.0,213.0,307.0,379.0
185.0,23.0,-123.09274210346595,186.0,142.0,217.0,256.0,333.0,327.0
22.0,40.0,-123.83699920836347,150.0,127.0,244.0,223.0,375.0,368.0
3.0,62.0,-124.1217558954171,141.0,126.0,248.0,223.0,360.0,310.0
126.0,0.0,-123.3637979804081,175.0,123.0,236.0,269.0,361.0,342.0
105.0,23.0,-121.54580153205626,153.0,144.0,211.0,270.0,307.0,385.0
89.0,49.0,-119.42094198120103,190.0,184.0,245.0,271.0,325.0,308.0
3.0,51.0,-124.47696826953401,169.0,115.0,213.0,279.0,329.0,311.0
63.0,78.0,-118.6140546015676,101.0,194.0,253.0,225.0,351.0,380.0
45.0,73.0,-120.62078682732917,198.0,172.0,284.0,296.0,355.0,333.0
45.0,75.0,-120.5136998885439,129.0,146.0,227.0,277.0,307.0,307.0
160.0,29.0,-121.64514863511158,113.0,142.0,233.0,274.0,360.0,333.0
89.0,40.0,-120.33836465722482,196.0,106.0,241.0,259.0,325.0,321.0
141.0,52.0,-118.63645926843881,172.0,185.0,213.0,247.0,399.0,316.0
156.0,77.0,-116.46777914938446,197.0,135.0,274.0,255.0,317.0,331.0
22.0,72.0,-122.50439483876426,132.0,130.0,268.0,250.0,340.0,330.0
180.0,73.0,-119.22869426265527,189.0,162.0,218.0,214.0,362.0,309.0
117.0,107.0,-103.69941036296893,114.0,174.0,232.0,291.0,328.0,399.0
0.0,1.0,-126.44666627085851,135.0,138.0,230.0,222.0,350.0,307.0
137.0,105.0,-108.27326684269455,132.0,170.0,262.0,201.0,379.0,310.0
161.0,51.0,-119.71117357670059,101.0,190.0,274.0,258.0,300.0,339.0
179.0,59.0,-120.20539478037938,146.0,192.0,249.0,230.0,343.0,355.0
132.0,21.0,-121.68263316905845,170.0,108.0,296.0,227.0,335.0,362.0
25.0,65.0,-122.55836964335401,145.0,134.0,209.0,289.0,386.0,367.0
177.0,15.0,-123.30229544277603,101.0,179.0,260.0,271.0,303.0,339.0
71.0,93.0,-116.49720948613185,182.0,116.0,226.0,292.0,368.0,319.0
78.0,68.0,-118.09720291234649,111.0,194.0,272.0,298.0,300.0,302.0
147.0,43.0,-119.86747610260562,185.0,167.0,205.0,230.0,362.0,397.0
59.0,61.0,-120.2433922199211,197.0,128.0,292.0,214.0,394.0,381.0
164.0,68.0,-118.22308273972229,196.0,168.0,217.0,238.0,383.0,313.0
179.0,90.0,-117.94420647415012,181.0,123.0,232.0,229.0,346.0,328.0
185.0,44.0,-121.69022508309229,152.0,140.0,253.0,289.0,371.0,312.0
190.0,63.0,-120.75899343169678,139.0,105.0,258.0,217.0,384.0,393.0
127.0,10.0,-122.58612776801809,169.0,200.0,295.0,252.0,365.0,368.0
84.0,80.0,-116.15077964898327,139.0,185.0,236.0,268.0,348.0,389.0
172.0,44.0,-120.94912729441234,157.0,135.0,261.0,299.0,306.0,334.0
95.0,46.0,-119.49306024536344,166.0,193.0,247.0,265.0,307.0,361.0
42.0,11.0,-124.3574095826545,140.0,121.0,241.0,223.0,387.0,309.0
169.0,104.0,-115.67202895656698,173.0,117.0,250.0,227.0,309.0,373.0
54.0,103.0,-118.26536251615227,147.0,174.0,219.0,225.0,397.0,310.0
187.0,34.0,-122.47091640504246,142.0,127.0,229.0,237.0,313.0,385.0
170.0,51.0,-120.2476887210473,183.0,168.0,266.0,229.0,322.0,305.0
24.0,82.0,-122.00506860828261,155.0,173.0,284.0,242.0,396.0,305.0
38.0,82.0,-120.80732048455894,104.0,156.0,236.0,295.0,351.0,383.0
96.0,72.0,-116.12290002347419,189.0,177.0,290.0,288.0,385.0,365.0
12.0,62.0,-123.55262070921393,100.0,143.0,223.0,262.0,301.0,354.0
21.0,70.0,-122.65070761782468,124.0,191.0,241.0,285.0,338.0,378.0
54.0,78.0,-119.51038344172224,115.0,144.0,274.0,238.0,300.0,327.0
41.0,97.0,-119.96032092104849,103.0,191.0,246.0,209.0,394.0,372.0
135.0,61.0,-117.2315000849436,180.0,132.0,292.0,254.0,373.0,392.0
184.0,49.0,-121.28135974207586,114.0,184.0,245.0,214.0,351.0,339.0
188.0,24.0,-123.15972085122425,183.0,182.0,244.0,283.0,334.0,383.0
121.0,21.0,-121.620114326493,104.0,199.0,261.0,211.0,311.0,362.0
84.0,109.0,-112.93842147694969,151.0,121.0,229.0,274.0,324.0,326.0
134.0,18.0,-121.9696858312258,183.0,186.0,223.0,214.0,396.0,314.0
18.0,63.0,-123.12061335142423,114.0,123.0,279.0,240.0,351.0,305.0
113.0,67.0,-116.07904483278045,118.0,188.0,284.0,250.0,324.0,373.0
128.0,65.0,-116.41675383738928,176.0,171.0,267.0,239.0,335.0,386.0
65.0,25.0,-122.55836964335401,127.0,132.0,299.0,296.0,324.0,354.0
120.0,20.0,-121.71044498668641,175.0,162.0,298.0,296.0,368.0,361.0
163.0,40.0,-120.82823409860819,148.0,122.0,226.0,220.0,358.0,372.0
99.0,38.0,-120.21484487775334,162.0,184.0,299.0,257.0,316.0,354.0
88.0,13.0,-122.71118112811479,140.0,137.0,264.0,233.0,381.0,353.0
34.0,81.0,-121.20202915508344,105.0,149.0,292.0,240.0,344.0,367.0
24.0,47.0,-123.40639950528478,164.0,199.0,214.0,292.0,328.0,355.0
97.0,64.0,-117.20361507624659,154.0,115.0,259.0,271.0,362.0,311.0
35.0,42.0,-123.00674737679648,162.0,167.0,270.0,212.0,382.0,353.0
124.0,34.0,-120.36025706431371,164.0,146.0,260.0,284.0,327.0,357.0
62.0,21.0,-122.95686753164736,132.0,143.0,262.0,292.0,395.0,396.0
122.0,84.0,-112.53313162330724,162.0,148.0,290.0,205.0,371.0,394.0
14.0,4.0,-125.7906552920345,153.0,160.0,257.0,241.0,356.0,355.0
75.0,42.0,-120.775679581117,197.0,183.0,260.0,288.0,320.0,394.0
110.0,79.0,-113.96060218739866,101.0,192.0,297.0,206.0,322.0,329.0
56.0,8.0,-124.0117524097407,110.0,197.0,275.0,232.0,309.0,305.0
184.0,98.0,-118.13887393421368,107.0,134.0,251.0,253.0,303.0,368.0
116.0,4.0,-123.05399046262505,149.0,183.0,238.0,277.0,362.0,352.0
164.0,39.0,-120.96171661195277,145.0,123.0,268.0,223.0,331.0,385.0
5.0,7.0,-126.0222403088267,192.0,192.0,237.0,299.0,350.0,377.0
68.0,84.0,-117.5996804385581,178.0,191.0,207.0,202.0,371.0,317.0
109.0,18.0,-121.94325790430466,180.0,148.0,253.0,271.0,335.0,376.0
13.0,44.0,-124.16792191422473,163.0,128.0,204.0,254.0,387.0,361.0
12.0,24.0,-125.0350782420054,110.0,199.0,278.0,277.0,306.0,390.0
82.0,104.0,-113.75755831627214,114.0,102.0,226.0,262.0,391.0,321.0
138.0,22.0,-121.67330539545307,195.0,111.0,218.0,250.0,373.0,349.0
182.0,87.0,-118.4819157272558,112.0,124.0,298.0,265.0,376.0,371.0
87.0,29.0,-121.42402807428044,187.0,122.0,269.0,247.0,328.0,340.0
158.0,13.0,-122.84732864803473,143.0,184.0,256.0,237.0,320.0,386.0
156.0,54.0,-119.12250719813633,122.0,146.0,203.0,217.0,394.0,315.0
173.0,22.0,-122.67195506761107,166.0,174.0,245.0,299.0,390.0,347.0
149.0,38.0,-120.44313366745325,167.0,131.0,291.0,295.0,325.0,359.0
86.0,75.0,-116.57148128891518,148.0,183.0,219.0,290.0,374.0,307.0
41.0,55.0,-121.92486393056876,187.0,126.0,225.0,220.0,319.0,314.0
8.0,88.0,-123.09001472951476,118.0,139.0,266.0,266.0,383.0,389.0
1.0,75.0,-123.88577969471834,119.0,132.0,248.0,254.0,380.0,360.0
155.0,69.0,-117.35758687050739,129.0,131.0,260.0,246.0,320.0,319.0
98.0,27.0,-121.3068323936885,103.0,104.0,216.0,276.0,304.0,343.0
14.0,88.0,-122.63364474417489,149.0,179.0,264.0,266.0,310.0,383.0
163.0,68.0,-118.13818153225435,140.0,175.0,251.0,294.0,304.0,374.0
168.0,103.0,-115.56299792871846,186.0,168.0,235.0,250.0,400.0,373.0
90.0,107.0,-111.68180672210725,146.0,115.0,237.0,281.0,349.0,312.0
107.0,74.0,-115.07957479985663,163.0,121.0,204.0,298.0,360.0,368.0
190.0,2.0,-124.5501235942817,145.0,145.0,237.0,217.0,309.0,336.0
78.0,60.0,-118.91802349560157,185.0,138.0,274.0,213.0,395.0,317.0
173.0,34.0,-121.78639220690295,126.0,190.0,261.0,269.0,303.0,370.0
127.0,55.0,-117.87947009069151,159.0,193.0,252.0,237.0,384.0,329.0
175.0,69.0,-119.0876797516924,168.0,198.0,224.0,246.0,338.0,306.0
14.0,10.0,-125.53616134326433,134.0,176.0,248.0,209.0,396.0,325.0
33.0,48.0,-122.81451534757744,166.0,187.0,274.0,261.0,301.0,343.0
190.0,63.0,-120.75899343169678,200.0,107.0,214.0,208.0,333.0,336.0
155.0,23.0,-121.97841393193289,154.0,111.0,300.0,229.0,353.0,373.0
12.0,21.0,-125.15958839938244,132.0,195.0,213.0,227.0,354.0,307.0
110.0,101.0,-107.9351049932843,109.0,177.0,233.0,235.0,356.0,346.0
184.0,26.0,-122.85392212863587,150.0,130.0,276.0,236.0,334.0,300.0
59.0,92.0,-118.13149425864142,169.0,196.0,261.0,204.0,364.0,319.0
123.0,20.0,-121.71379263971639,160.0,175.0,262.0,225.0,358.0,389.0
108.0,42.0,-119.5820088521908,119.0,107.0,217.0,241.0,363.0,353.0
171.0,82.0,-117.59176139009395,191.0,105.0,244.0,285.0,302.0,310.0
104.0,14.0,-122.33997907574229,143.0,159.0,255.0,262.0,357.0,355.0
89.0,90.0,-114.16854337440003,179.0,157.0,269.0,291.0,385.0,350.0
87.0,16.0,-122.5015138085239,178.0,118.0,225.0,279.0,347.0,342.0
32.0,95.0,-120.91437013967919,120.0,177.0,206.0,254.0,399.0,300.0
0.0,73.0,-124.0021204181673,161.0,170.0,280.0,263.0,339.0,345.0
164.0,70.0,-118.01914890094915,119.0,119.0,227.0,202.0,301.0,345.0
67.0,102.0,-116.49781005739277,108.0,140.0,227.0,215.0,397.0,374.0
37.0,33.0,-123.37962451930568,123.0,170.0,205.0,238.0,316.0,382.0
86.0,35.0,-120.9224526619573,136.0,176.0,206.0,256.0,367.0,341.0
187.0,106.0,-118.23623318630825,160.0,125.0,214.0,206.0,398.0,349.0
83.0,39.0,-120.67419649703024,158.0,147.0,294.0,223.0,347.0,377.0
105.0,9.0,-122.73498754597503,172.0,180.0,236.0,268.0,322.0,395.0
7.0,58.0,-124.00431817110604,142.0,144.0,225.0,251.0,341.0,390.0
89.0,21.0,-122.04694419942811,189.0,164.0,279.0,225.0,321.0,387.0
75.0,14.0,-122.98843600400423,104.0,172.0,237.0,230.0,361.0,354.0
163.0,65.0,-118.44701588812615,119.0,110.0,260.0,226.0,377.0,303.0
154.0,27.0,-121.61226269458615,192.0,195.0,258.0,295.0,361.0,397.0
82.0,31.0,-121.42237467584036,138.0,118.0,300.0,258.0,336.0,370.0
178.0,99.0,-117.30029218035585,125.0,171.0,300.0,291.0,317.0,384.0
103.0,20.0,-121.84230101405478,133.0,125.0,298.0,240.0,374.0,369.0
160.0,104.0,-114.0504678381233,164.0,184.0,295.0,236.0,360.0,359.0
125.0,82.0,-113.07660804133894,177.0,134.0,215.0,268.0,391.0,390.0
139.0,72.0,-115.73990333335638,155.0,181.0,226.0,241.0,324.0,316.0
18.0,0.0,-125.81100178218537,175.0,175.0,268.0,238.0,342.0,339.0
129.0,1.0,-123.30228724864861,106.0,155.0,222.0,266.0,386.0,301.0
57.0,100.0,-117.99129688459743,128.0,143.0,260.0,219.0,355.0,397.0
145.0,7.0,-123.02234175518115,117.0,115.0,210.0,260.0,389.0,353.0
111.0,29.0,-120.90701938603902,104.0,155.0,215.0,246.0,316.0,394.0
160.0,19.0,-122.44718277797222,151.0,144.0,208.0,247.0,387.0,394.0
35.0,12.0,-124.58349431133107,163.0,123.0,266.0,202.0,357.0,350.0
183.0,17.0,-123.39603869162579,124.0,133.0,246.0,289.0,335.0,337.0
106.0,64.0,-116.77213392427086,190.0,102.0,273.0,205.0,303.0,390.0
0.0,103.0,-123.4455846087462,121.0,124.0,245.0,205.0,323.0,341.0
42.0,97.0,-119.85482269616088,142.0,191.0,299.0,259.0,325.0,373.0
15.0,79.0,-122.7955772620721,134.0,191.0,271.0,219.0,391.0,351.0
22.0,36.0,-124.0179826236157,111.0,111.0,266.0,253.0,331.0,318.0
116.0,69.0,-115.68122793159733,103.0,184.0,236.0,201.0,309.0,361.0
188.0,75.0,-119.83584393472398,132.0,150.0,260.0,236.0,338.0,392.0
104.0,25.0,-121.37797470179098,166.0,179.0,238.0,205.0,363.0,381.0
51.0,46.0,-121.82542762239976,124.0,118.0,203.0,220.0,309.0,355.0
113.0,102.0,-106.98796137980982,117.0,127.0,204.0,277.0,312.0,373.0
175.0,108.0,-116.46521719667257,122.0,133.0,223.0,289.0,343.0,386.0
