x,y,RSSI,lambda0,lambda1,lambda2,lambda3,lambda4,lambda5
112.0,40.0,-119.74805831080556,143.0,163.0,203.0,204.0,306.0,335.0
119.0,50.0,-118.4998533631406,147.0,177.0,272.0,266.0,314.0,362.0
169.0,0.0,-124.04050595299006,138.0,119.0,296.0,250.0,327.0,388.0
16.0,38.0,-124.24972724359321,155.0,167.0,285.0,283.0,381.0,340.0
180.0,103.0,-117.3957938381208,115.0,117.0,257.0,270.0,394.0,314.0
6.0,0.0,-126.25897214489399,124.0,108.0,223.0,244.0,346.0,366.0
159.0,93.0,-114.93767803870466,145.0,200.0,254.0,274.0,320.0,342.0
71.0,65.0,-118.97027784844329,189.0,105.0,257.0,297.0,398.0,367.0
29.0,33.0,-123.79357736792855,111.0,117.0,300.0,228.0,346.0,306.0
74.0,20.0,-122.58211932286193,102.0,127.0,294.0,292.0,334.0,302.0
8.0,11.0,-125.74168286223178,168.0,151.0,296.0,204.0,361.0,398.0
128.0,109.0,-103.70657189563751,127.0,132.0,284.0,292.0,355.0,379.0
39.0,43.0,-122.72081942687188,114.0,190.0,299.0,227.0,365.0,388.0
96.0,70.0,-116.41809438460942,149.0,192.0,241.0,207.0,311.0,383.0
66.0,27.0,-122.37342885575165,105.0,166.0,225.0,264.0,393.0,345.0
61.0,50.0,-120.92521082491811,112.0,187.0,284.0,242.0,344.0,372.0
168.0,28.0,-122.03092021904652,133.0,143.0,295.0,291.0,383.0,300.0
100.0,55.0,-118.24704988294133,156.0,135.0,200.0,213.0,321.0,367.0
20.0,53.0,-123.38876077406908,141.0,183.0,270.0,200.0,351.0,351.0
5.0,86.0,-123.35226950729634,123.0,184.0,274.0,275.0,324.0,396.0
185.0,17.0,-123.47424163895158,121.0,162.0,262.0,266.0,388.0,339.0
31.0,19.0,-124.39688450697562,126.0,169.0,201.0,279.0,381.0,387.0
111.0,14.0,-122.269618420628,124.0,143.0,255.0,260.0,314.0,397.0
80.0,9.0,-123.20656282588791,167.0,155.0,217.0,216.0,342.0,345.0
177.0,9.0,-123.6950635071868,103.0,149.0,247.0,247.0,319.0,368.0
72.0,21.0,-122.57823344698326,132.0,192.0,287.0,261.0,382.0,396.0
91.0,2.0,-123.47035157994469,109.0,195.0,230.0,287.0,371.0,372.0
105.0,8.0,-122.8143384306457,186.0,154.0,262.0,280.0,321.0,353.0
147.0,43.0,-119.86747610260562,156.0,146.0,271.0,279.0,313.0,315.0
100.0,109.0,-108.47989401810698,127.0,118.0,201.0,284.0,360.0,320.0
34.0,30.0,-123.6918530061613,112.0,114.0,268.0,275.0,332.0,328.0
61.0,98.0,-117.55636686538668,148.0,122.0,233.0,249.0,359.0,360.0
182.0,101.0,-117.75057999715244,113.0,163.0,208.0,298.0,314.0,384.0
124.0,110.0,-101.68145737685212,139.0,136.0,206.0,284.0,370.0,347.0
141.0,6.0,-123.03763357532128,107.0,158.0,243.0,253.0,316.0,395.0
0.0,70.0,-124.0805794359483,192.0,131.0,293.0,289.0,388.0,311.0
150.0,58.0,-118.3348676684692,100.0,185.0,268.0,249.0,337.0,313.0
113.0,41.0,-119.62494917912173,127.0,112.0,274.0,266.0,349.0,377.0
85.0,1.0,-123.65655272749794,152.0,171.0,225.0,223.0,313.0,305.0
172.0,4.0,-123.86419488527133,157.0,155.0,253.0,231.0,358.0,351.0
159.0,21.0,-122.26033289711336,161.0,168.0,209.0,200.0,303.0,312.0
87.0,35.0,-120.88618716270506,110.0,135.0,295.0,261.0,336.0,400.0
30.0,96.0,-121.07624713435965,109.0,106.0,270.0,203.0,317.0,377.0
118.0,15.0,-122.15212391612803,113.0,181.0,293.0,240.0,320.0,364.0
43.0,42.0,-122.54553177490718,131.0,116.0,235.0,262.0,333.0,376.0
47.0,83.0,-119.91516301229157,147.0,140.0,251.0,207.0,363.0,395.0
152.0,88.0,-114.52527694632167,147.0,138.0,221.0,224.0,367.0,310.0
12.0,25.0,-124.99366918041116,107.0,160.0,208.0,243.0,307.0,326.0
124.0,74.0,-114.75247300949147,118.0,112.0,201.0,258.0,396.0,359.0
36.0,83.0,-120.94648004267856,173.0,131.0,238.0,209.0,313.0,397.0
30.0,21.0,-124.34163549786649,198.0,198.0,200.0,217.0,348.0,399.0
55.0,99.0,-118.2870338122955,141.0,178.0,289.0,260.0,311.0,347.0
166.0,102.0,-115.2894450146949,193.0,195.0,247.0,220.0,391.0,374.0
134.0,87.0,-112.45451878592301,141.0,155.0,242.0,224.0,306.0,391.0
128.0,43.0,-119.40149112548079,154.0,116.0,254.0,289.0,326.0,331.0
26.0,58.0,-122.78820585022524,172.0,175.0,239.0,272.0,332.0,389.0
64.0,43.0,-121.27788942943553,197.0,165.0,238.0,233.0,331.0,381.0
104.0,79.0,-114.34163469110084,199.0,145.0,255.0,201.0,319.0,377.0
128.0,77.0,-114.25971550038395,117.0,158.0,250.0,261.0,333.0,321.0
72.0,16.0,-122.94061496310349,195.0,189.0,279.0,292.0,343.0,378.0
19.0,45.0,-123.7864798997177,175.0,105.0,231.0,250.0,355.0,358.0
33.0,0.0,-125.26390067600207,171.0,127.0,232.0,242.0,348.0,339.0
87.0,19.0,-122.26278393095322,102.0,128.0,222.0,262.0,342.0,394.0
57.0,48.0,-121.32170263584752,147.0,174.0,281.0,206.0,359.0,386.0
