x,y,RSSI,lambda0,lambda1,lambda2,lambda3,lambda4,lambda5,SF
72.0,64.0,-118.98180254271368,200.0,144.0,256.0,260.0,321.0,376.0,9
107.0,16.0,-122.13626832378203,119.0,107.0,271.0,271.0,323.0,379.0,12
164.0,2.0,-123.7811980739834,104.0,109.0,233.0,295.0,368.0,312.0,9
72.0,1.0,-123.96299430125435,154.0,148.0,250.0,277.0,328.0,385.0,7
81.0,70.0,-117.6236382502648,180.0,138.0,260.0,298.0,321.0,393.0,11
9.0,58.0,-123.88123634864382,161.0,103.0,201.0,269.0,312.0,379.0,7
142.0,50.0,-118.91147450255112,193.0,152.0,212.0,263.0,307.0,358.0,7
71.0,73.0,-118.23801793605276,169.0,173.0,245.0,292.0,377.0,334.0,11
25.0,4.0,-125.367870569304,138.0,195.0,258.0,278.0,387.0,335.0,11
78.0,67.0,-118.20150619513208,129.0,109.0,247.0,247.0,389.0,397.0,8
9.0,101.0,-122.7841659655972,159.0,104.0,269.0,204.0,390.0,391.0,7
42.0,20.0,-123.859392324902,174.0,193.0,269.0,263.0,311.0,387.0,10
42.0,2.0,-124.84246078685962,167.0,131.0,261.0,241.0,400.0,393.0,10
22.0,101.0,-121.69864200023008,178.0,136.0,283.0,282.0,381.0,348.0,10
7.0,68.0,-123.68353674582352,139.0,140.0,286.0,211.0,324.0,318.0,8
78.0,109.0,-114.2157260538707,145.0,111.0,252.0,266.0,354.0,363.0,11
37.0,87.0,-120.70066634481788,149.0,170.0,246.0,274.0,325.0,337.0,8
170.0,5.0,-123.74135107881207,146.0,174.0,241.0,261.0,378.0,303.0,8
64.0,104.0,-116.85324194140784,191.0,140.0,257.0,266.0,364.0,363.0,11
92.0,2.0,-123.4528133576326,122.0,181.0,298.0,261.0,355.0,379.0,10
4.0,12.0,-125.86810331936223,197.0,169.0,213.0,290.0,397.0,347.0,9
20.0,100.0,-121.89115310427422,192.0,190.0,225.0,251.0,365.0,365.0,7
167.0,59.0,-119.3325179761898,163.0,141.0,210.0,285.0,378.0,330.0,7
58.0,86.0,-118.6010615939604,122.0,194.0,227.0,274.0,392.0,396.0,9
187.0,26.0,-122.98845357151636,136.0,189.0,279.0,248.0,377.0,374.0,8
92.0,53.0,-118.8384373286236,111.0,160.0,214.0,240.0,363.0,371.0,7
56.0,57.0,-120.75244285664267,143.0,169.0,229.0,210.0,330.0,344.0,7
55.0,96.0,-118.41610068203993,148.0,109.0,300.0,239.0,376.0,312.0,10
144.0,49.0,-119.10155296465749,154.0,109.0,260.0,270.0,348.0,324.0,7
43.0,17.0,-123.98469254034464,155.0,105.0,249.0,222.0,346.0,384.0,7
30.0,43.0,-123.24391548415424,200.0,126.0,226.0,274.0,335.0,341.0,9
140.0,101.0,-110.05128046135366,195.0,121.0,273.0,208.0,322.0,367.0,7
48.0,29.0,-123.05905211322292,171.0,152.0,292.0,227.0,388.0,353.0,10
88.0,54.0,-118.9296298576526,170.0,100.0,259.0,282.0,370.0,331.0,7
123.0,22.0,-121.5319079864338,105.0,133.0,200.0,300.0,370.0,351.0,7
112.0,11.0,-122.51269593777388,166.0,184.0,206.0,249.0,388.0,328.0,7
120.0,92.0,-110.27122355468308,198.0,142.0,220.0,292.0,365.0,321.0,9
167.0,65.0,-118.7666963559576,144.0,199.0,239.0,271.0,379.0,358.0,9
54.0,57.0,-120.8951699385634,137.0,140.0,290.0,253.0,354.0,370.0,10
75.0,107.0,-114.8974436766093,175.0,181.0,216.0,254.0,376.0,309.0,7
43.0,53.0,-121.90424848436584,179.0,179.0,252.0,202.0,381.0,379.0,7
74.0,5.0,-123.64444870554902,161.0,151.0,261.0,221.0,325.0,393.0,7
184.0,20.0,-123.24373689974176,134.0,189.0,239.0,240.0,357.0,312.0,7
33.0,102.0,-120.64942620510004,135.0,111.0,212.0,295.0,357.0,302.0,9
26.0,98.0,-121.39804022927444,193.0,167.0,280.0,260.0,374.0,359.0,11
11.0,52.0,-123.97530041732574,151.0,153.0,278.0,241.0,328.0,308.0,10
88.0,2.0,-123.52616994746808,199.0,192.0,271.0,209.0,342.0,314.0,7
106.0,35.0,-120.37100939846393,108.0,150.0,202.0,259.0,384.0,341.0,7
56.0,87.0,-118.7640210917554,160.0,121.0,217.0,260.0,345.0,325.0,7
44.0,83.0,-120.205547699857,101.0,101.0,263.0,225.0,361.0,398.0,7
167.0,100.0,-115.59454413975328,102.0,183.0,240.0,270.0,347.0,344.0,9
15.0,17.0,-125.19494240987407,120.0,111.0,251.0,300.0,303.0,304.0,8
28.0,63.0,-122.43088574024262,156.0,153.0,235.0,275.0,315.0,319.0,9
167.0,36.0,-121.35170179297457,133.0,191.0,237.0,260.0,337.0,396.0,8
174.0,33.0,-121.90844625124828,141.0,104.0,224.0,222.0,318.0,357.0,7
173.0,38.0,-121.47828315355356,162.0,155.0,255.0,251.0,366.0,368.0,9
80.0,58.0,-118.98424248012842,173.0,125.0,285.0,268.0,399.0,330.0,11
127.0,15.0,-122.16853946924869,152.0,181.0,204.0,279.0,365.0,387.0,7
126.0,79.0,-113.77634274691002,193.0,165.0,269.0,240.0,304.0,305.0,10
69.0,95.0,-116.63198962737523,191.0,197.0,287.0,222.0,360.0,379.0,8
73.0,75.0,-117.85583270288106,134.0,177.0,246.0,217.0,380.0,397.0,7
186.0,68.0,-120.11018487735026,158.0,176.0,209.0,258.0,339.0,376.0,7
64.0,30.0,-122.24373300228932,149.0,185.0,254.0,244.0,306.0,317.0,10
134.0,50.0,-118.6679796832086,124.0,133.0,283.0,274.0,362.0,334.0,10
133.0,4.0,-123.10187015426884,165.0,107.0,272.0,219.0,400.0,393.0,7
127.0,3.0,-123.14021244824218,158.0,199.0,264.0,257.0,380.0,339.0,12
89.0,9.0,-122.99397172619187,117.0,199.0,257.0,233.0,370.0,374.0,7
178.0,58.0,-120.20980160287382,127.0,167.0,284.0,278.0,347.0,308.0,11
172.0,75.0,-118.30143095002248,108.0,135.0,219.0,214.0,352.0,326.0,7
61.0,79.0,-118.74547447621052,122.0,174.0,203.0,252.0,352.0,327.0,7
150.0,29.0,-121.31672296460286,182.0,176.0,269.0,234.0,314.0,363.0,10
141.0,5.0,-123.1138601136652,190.0,117.0,237.0,284.0,396.0,321.0,9
58.0,32.0,-122.38294306657102,142.0,108.0,262.0,204.0,304.0,380.0,7
169.0,52.0,-120.0986548472971,141.0,187.0,240.0,227.0,305.0,351.0,7
120.0,90.0,-110.88891353401164,160.0,195.0,295.0,273.0,319.0,357.0,9
127.0,59.0,-117.31450159270857,132.0,132.0,210.0,252.0,317.0,326.0,7
187.0,53.0,-121.20028693005682,186.0,145.0,242.0,229.0,304.0,362.0,7
89.0,41.0,-120.24018446621162,144.0,111.0,296.0,245.0,309.0,400.0,10
7.0,96.0,-123.01435962594704,187.0,166.0,219.0,218.0,377.0,355.0,7
97.0,81.0,-114.59958392239416,182.0,140.0,224.0,260.0,368.0,329.0,7
145.0,38.0,-120.31403766563815,130.0,162.0,212.0,276.0,355.0,329.0,7
57.0,3.0,-124.2790595990564,178.0,123.0,295.0,275.0,302.0,385.0,10
181.0,48.0,-121.16628875830946,176.0,150.0,200.0,212.0,390.0,327.0,7
119.0,26.0,-121.1537615770384,101.0,180.0,289.0,215.0,336.0,339.0,10
157.0,85.0,-115.59087525097677,107.0,127.0,240.0,268.0,356.0,376.0,9
125.0,45.0,-119.1373283351242,151.0,192.0,203.0,268.0,379.0,331.0,7
17.0,93.0,-122.28101263891033,178.0,155.0,263.0,298.0,354.0,394.0,9
119.0,68.0,-115.82732116281522,178.0,112.0,240.0,234.0,300.0,379.0,7
5.0,96.0,-123.16566453815474,159.0,177.0,242.0,256.0,344.0,337.0,8
133.0,2.0,-123.2541516792119,188.0,145.0,266.0,248.0,303.0,395.0,11
5.0,21.0,-125.4758468911672,160.0,127.0,280.0,233.0,302.0,310.0,10
111.0,102.0,-107.35879420202428,191.0,125.0,288.0,216.0,394.0,330.0,8
155.0,76.0,-116.49214375753104,101.0,161.0,276.0,225.0,339.0,349.0,8
103.0,32.0,-120.72829941769692,146.0,100.0,244.0,283.0,357.0,364.0,11
32.0,15.0,-124.55486042061732,123.0,114.0,298.0,240.0,353.0,345.0,10
58.0,90.0,-118.36412956370762,155.0,145.0,294.0,266.0,323.0,361.0,12
54.0,74.0,-119.76217495739076,102.0,106.0,300.0,294.0,357.0,307.0,7
67.0,44.0,-121.032986213548,152.0,179.0,223.0,200.0,396.0,325.0,7
24.0,26.0,-124.3794984898353,170.0,103.0,238.0,228.0,316.0,349.0,7
83.0,35.0,-121.03579923991812,131.0,172.0,212.0,220.0,347.0,360.0,7
120.0,19.0,-121.8000989415234,165.0,106.0,222.0,292.0,382.0,397.0,9
137.0,28.0,-121.10556709312776,110.0,170.0,225.0,225.0,362.0,378.0,7
85.0,32.0,-121.22758776678086,173.0,152.0,242.0,289.0,399.0,381.0,11
155.0,64.0,-117.95018744871888,153.0,105.0,246.0,299.0,390.0,355.0,9
170.0,73.0,-118.2842539646838,142.0,102.0,211.0,235.0,363.0,383.0,7
182.0,20.0,-123.16270512925314,157.0,106.0,289.0,258.0,325.0,307.0,10
162.0,80.0,-116.7652479947104,133.0,149.0,293.0,235.0,332.0,332.0,10
164.0,108.0,-114.5593237637157,119.0,140.0,235.0,272.0,367.0,351.0,9
152.0,61.0,-118.09964966599858,101.0,160.0,287.0,237.0,328.0,354.0,10
171.0,52.0,-120.22462622648568,107.0,147.0,235.0,279.0,356.0,365.0,9
30.0,37.0,-123.5420321829605,118.0,103.0,213.0,212.0,361.0,360.0,7
63.0,55.0,-120.41004650787812,135.0,183.0,240.0,213.0,310.0,382.0,7
98.0,53.0,-118.57359911488768,137.0,139.0,244.0,253.0,381.0,342.0,11
62.0,80.0,-118.56967507112356,140.0,110.0,258.0,220.0,334.0,400.0,7
136.0,57.0,-117.8217289394404,194.0,145.0,214.0,257.0,347.0,363.0,7
175.0,29.0,-122.24902934944956,165.0,113.0,275.0,237.0,354.0,326.0,10
185.0,98.0,-118.2644186658913,124.0,102.0,250.0,240.0,365.0,333.0,7
130.0,33.0,-120.51183969150247,181.0,183.0,256.0,278.0,386.0,300.0,10
18.0,103.0,-122.0156915771966,129.0,155.0,262.0,266.0,359.0,375.0,8
185.0,81.0,-119.17410732273044,101.0,100.0,222.0,217.0,302.0,335.0,7
7.0,36.0,-124.8012864984509,125.0,165.0,286.0,205.0,373.0,396.0,7
55.0,49.0,-121.37695538757472,176.0,137.0,217.0,294.0,384.0,378.0,9
163.0,39.0,-120.9156142830563,116.0,140.0,292.0,202.0,359.0,340.0,7
26.0,58.0,-122.78820585022524,113.0,109.0,209.0,212.0,382.0,374.0,7
52.0,19.0,-123.49201274203703,120.0,107.0,280.0,225.0,381.0,325.0,8
115.0,93.0,-110.11038318050244,191.0,166.0,280.0,280.0,312.0,393.0,10
58.0,13.0,-123.63158266774948,104.0,189.0,256.0,269.0,310.0,323.0,8
162.0,53.0,-119.57587079914654,179.0,175.0,239.0,266.0,356.0,346.0,9
145.0,20.0,-121.97744166551462,187.0,162.0,300.0,286.0,390.0,343.0,9
148.0,74.0,-116.11073238111872,197.0,135.0,276.0,256.0,322.0,318.0,9
182.0,2.0,-124.29076214683325,155.0,162.0,204.0,290.0,321.0,308.0,7
41.0,24.0,-123.68038787985124,143.0,120.0,242.0,253.0,391.0,303.0,8
20.0,34.0,-124.21269689647252,177.0,116.0,262.0,252.0,371.0,365.0,7
40.0,57.0,-121.8828829969854,194.0,195.0,208.0,208.0,317.0,340.0,7
148.0,15.0,-122.4533818930254,122.0,117.0,274.0,281.0,392.0,345.0,7
1.0,97.0,-123.446679554082,190.0,129.0,219.0,229.0,389.0,335.0,7
159.0,91.0,-115.15964560332566,128.0,184.0,287.0,231.0,370.0,357.0,10
116.0,82.0,-113.06334205132887,156.0,130.0,259.0,264.0,354.0,360.0,12
60.0,17.0,-123.30049671991448,161.0,165.0,267.0,251.0,338.0,336.0,10
33.0,25.0,-124.00015472717118,169.0,155.0,289.0,233.0,366.0,354.0,10
30.0,36.0,-123.59193418900034,159.0,194.0,241.0,245.0,365.0,339.0,7
91.0,95.0,-113.1003420192242,131.0,127.0,287.0,291.0,342.0,342.0,10
96.0,22.0,-121.79561668102744,159.0,157.0,297.0,269.0,386.0,329.0,10
181.0,89.0,-118.2448178564766,147.0,185.0,251.0,297.0,390.0,360.0,9
106.0,69.0,-115.9867750398452,113.0,169.0,291.0,225.0,373.0,377.0,10
56.0,59.0,-120.61194000842823,167.0,110.0,256.0,244.0,306.0,344.0,10
95.0,6.0,-123.10667726145968,131.0,105.0,246.0,270.0,337.0,323.0,11
139.0,108.0,-108.17017710812564,118.0,182.0,222.0,229.0,319.0,333.0,7
126.0,54.0,-118.00268556689343,125.0,135.0,217.0,203.0,329.0,393.0,7
34.0,100.0,-120.59425590896907,149.0,102.0,259.0,212.0,381.0,335.0,7
25.0,18.0,-124.71062386415062,181.0,109.0,226.0,233.0,339.0,349.0,7
140.0,0.0,-123.47362555692251,119.0,154.0,216.0,223.0,382.0,377.0,7
33.0,85.0,-121.13895861714892,193.0,177.0,260.0,222.0,304.0,337.0,7
63.0,16.0,-123.25443255397172,136.0,190.0,211.0,234.0,386.0,364.0,7
75.0,47.0,-120.33630017576846,139.0,165.0,216.0,268.0,306.0,367.0,7
77.0,28.0,-121.8568028119128,153.0,170.0,227.0,225.0,355.0,334.0,7
71.0,74.0,-118.14644974559218,197.0,105.0,214.0,298.0,352.0,395.0,9
133.0,98.0,-109.39515246251456,121.0,195.0,273.0,248.0,380.0,307.0,12
146.0,57.0,-118.2424485128886,136.0,107.0,274.0,222.0,341.0,352.0,8
146.0,110.0,-110.09421254717276,147.0,114.0,230.0,290.0,374.0,371.0,9
29.0,48.0,-123.05905211322292,121.0,175.0,249.0,258.0,336.0,357.0,8
36.0,42.0,-122.9492157760276,135.0,100.0,210.0,287.0,357.0,328.0,7
149.0,66.0,-117.28113306564508,101.0,148.0,222.0,221.0,332.0,370.0,7
64.0,8.0,-123.74367727399108,175.0,129.0,202.0,229.0,393.0,345.0,7
156.0,97.0,-113.98799356375912,146.0,139.0,252.0,270.0,318.0,314.0,8
2.0,92.0,-123.4528133576326,176.0,139.0,218.0,209.0,387.0,388.0,7
46.0,54.0,-121.64373436683304,169.0,145.0,242.0,237.0,343.0,385.0,7
74.0,46.0,-120.47960291429088,136.0,175.0,293.0,211.0,365.0,346.0,10
156.0,81.0,-115.96762840668396,147.0,119.0,282.0,276.0,335.0,360.0,12
151.0,99.0,-112.79711679609268,126.0,122.0,216.0,234.0,353.0,321.0,7
133.0,15.0,-122.21575601681675,199.0,184.0,203.0,258.0,302.0,310.0,7
153.0,104.0,-112.59677618014264,161.0,102.0,205.0,253.0,334.0,378.0,7
23.0,61.0,-122.86193124195478,153.0,158.0,253.0,203.0,393.0,308.0,7
108.0,34.0,-120.44206689535642,120.0,177.0,253.0,209.0,366.0,379.0,7
80.0,31.0,-121.4969633110048,120.0,122.0,253.0,278.0,315.0,324.0,7
6.0,75.0,-123.54944886026792,123.0,119.0,277.0,229.0,358.0,312.0,10
122.0,78.0,-113.91369730190874,111.0,118.0,281.0,237.0,333.0,341.0,10
2.0,39.0,-124.94868665472404,196.0,149.0,258.0,231.0,373.0,319.0,7
43.0,102.0,-119.60181746536472,136.0,133.0,281.0,235.0,370.0,357.0,10
145.0,45.0,-119.58299605714794,176.0,115.0,230.0,273.0,369.0,345.0,9
177.0,75.0,-118.79222052325407,179.0,158.0,273.0,200.0,351.0,361.0,7
15.0,10.0,-125.4952324978566,165.0,154.0,252.0,299.0,359.0,360.0,12
54.0,87.0,-118.98379287997034,136.0,168.0,218.0,205.0,373.0,367.0,7
0.0,32.0,-125.29966868549624,111.0,156.0,214.0,215.0,364.0,392.0,7
23.0,2.0,-125.5354840663092,184.0,115.0,215.0,248.0,372.0,332.0,7
92.0,11.0,-122.77941977553806,136.0,106.0,238.0,267.0,339.0,376.0,9
157.0,13.0,-122.82123222816624,152.0,106.0,288.0,293.0,399.0,395.0,8
105.0,1.0,-123.35141480801995,200.0,194.0,261.0,215.0,398.0,339.0,7
124.0,100.0,-107.41584951219772,199.0,163.0,291.0,271.0,336.0,342.0,11
81.0,60.0,-118.70936521375958,127.0,188.0,242.0,252.0,324.0,363.0,8
35.0,22.0,-124.0634522535412,100.0,135.0,236.0,266.0,320.0,366.0,9
6.0,41.0,-124.66552057324392,183.0,124.0,265.0,222.0,385.0,323.0,7
107.0,46.0,-119.14031959485676,152.0,105.0,273.0,271.0,332.0,398.0,9
121.0,39.0,-119.81272831964009,138.0,123.0,242.0,239.0,314.0,319.0,7
144.0,21.0,-121.87116044442963,154.0,139.0,251.0,284.0,325.0,400.0,11
101.0,85.0,-113.44929671292311,183.0,123.0,266.0,204.0,338.0,381.0,7
147.0,49.0,-119.22121184383649,139.0,144.0,285.0,279.0,345.0,371.0,8
18.0,53.0,-123.51256189684013,177.0,191.0,292.0,256.0,387.0,327.0,12
4.0,79.0,-123.5837005552574,157.0,116.0,275.0,242.0,358.0,304.0,10
96.0,62.0,-117.5286830258098,124.0,196.0,232.0,292.0,385.0,314.0,9
31.0,79.0,-121.53520232187292,106.0,176.0,219.0,272.0,317.0,341.0,7
91.0,66.0,-117.31682665661054,122.0,198.0,221.0,266.0,398.0,378.0,7
37.0,8.0,-124.7113103234447,163.0,168.0,267.0,245.0,372.0,338.0,12
157.0,60.0,-118.53923906678408,147.0,140.0,291.0,300.0,363.0,385.0,12
43.0,30.0,-123.24391548415424,184.0,140.0,243.0,247.0,373.0,368.0,7
168.0,10.0,-123.3454331529024,134.0,111.0,243.0,270.0,369.0,325.0,11
23.0,14.0,-124.98410173721972,104.0,166.0,298.0,233.0,372.0,344.0,10
99.0,56.0,-118.16110804097376,187.0,150.0,211.0,251.0,386.0,370.0,7
65.0,82.0,-118.09768718142053,151.0,113.0,232.0,204.0,340.0,381.0,7
65.0,22.0,-122.7695681699999,199.0,101.0,273.0,273.0,376.0,393.0,9
169.0,34.0,-121.603370089931,181.0,126.0,229.0,237.0,390.0,384.0,7
76.0,109.0,-114.60693183974794,155.0,196.0,208.0,207.0,394.0,344.0,7
126.0,19.0,-121.81457109084894,157.0,179.0,292.0,291.0,366.0,383.0,10
170.0,44.0,-120.8398694609488,161.0,191.0,214.0,300.0,365.0,307.0,9
45.0,81.0,-120.20649797688066,179.0,197.0,295.0,200.0,373.0,385.0,7
5.0,43.0,-124.64597070595286,198.0,150.0,241.0,267.0,309.0,301.0,9
64.0,10.0,-123.61435657744764,138.0,155.0,234.0,232.0,357.0,384.0,7
42.0,98.0,-119.82387334093326,199.0,129.0,227.0,239.0,305.0,370.0,7
53.0,87.0,-119.09220204823096,102.0,199.0,273.0,265.0,342.0,339.0,8
62.0,57.0,-120.32443535429118,130.0,148.0,226.0,241.0,392.0,394.0,7
34.0,57.0,-122.29556207437987,136.0,178.0,237.0,253.0,393.0,303.0,7
7.0,33.0,-124.9164352048765,130.0,141.0,270.0,201.0,354.0,352.0,7
26.0,83.0,-121.80866814997988,186.0,184.0,219.0,247.0,335.0,311.0,7
7.0,109.0,-122.85618094048974,184.0,132.0,255.0,226.0,318.0,350.0,7
79.0,70.0,-117.7990228807339,154.0,121.0,247.0,274.0,393.0,396.0,12
105.0,52.0,-118.45775304056872,138.0,164.0,237.0,233.0,382.0,335.0,7
124.0,27.0,-121.06387571327502,135.0,198.0,226.0,201.0,387.0,398.0,7
156.0,6.0,-123.312855844235,134.0,174.0,209.0,205.0,349.0,370.0,7
59.0,83.0,-118.68175962968866,147.0,115.0,250.0,289.0,362.0,305.0,11
27.0,39.0,-123.607903688444,121.0,147.0,230.0,275.0,397.0,316.0,9
19.0,14.0,-125.15372202749828,110.0,122.0,291.0,283.0,342.0,343.0,7
147.0,107.0,-110.76543941159876,144.0,200.0,210.0,252.0,302.0,345.0,7
11.0,43.0,-124.31835132662415,151.0,176.0,219.0,291.0,356.0,324.0,9
50.0,69.0,-120.4258896997844,131.0,107.0,205.0,293.0,333.0,364.0,7
150.0,95.0,-113.18590957050002,154.0,125.0,252.0,255.0,359.0,377.0,8
8.0,53.0,-124.11702762766856,157.0,112.0,279.0,261.0,358.0,331.0,7
31.0,4.0,-125.14090866857264,186.0,108.0,208.0,261.0,390.0,396.0,7
129.0,91.0,-110.97124432961384,159.0,122.0,257.0,204.0,327.0,357.0,7
147.0,107.0,-110.76543941159876,113.0,111.0,211.0,258.0,331.0,338.0,7
104.0,109.0,-107.04645076248876,171.0,167.0,291.0,223.0,301.0,362.0,10
188.0,33.0,-122.58637957666336,166.0,102.0,244.0,285.0,375.0,344.0,11
36.0,109.0,-120.21976937236748,144.0,146.0,229.0,212.0,321.0,378.0,7
57.0,48.0,-121.32170263584752,168.0,197.0,256.0,247.0,373.0,381.0,7
154.0,94.0,-114.01172259230312,187.0,125.0,279.0,294.0,327.0,314.0,7
129.0,43.0,-119.41382415901828,173.0,128.0,271.0,219.0,336.0,312.0,7
48.0,65.0,-120.83173648091072,114.0,127.0,239.0,233.0,392.0,362.0,7
79.0,41.0,-120.67025600112586,120.0,106.0,218.0,265.0,330.0,321.0,7
189.0,46.0,-121.79414449002158,123.0,115.0,277.0,263.0,302.0,334.0,10
95.0,102.0,-111.15566711540546,148.0,137.0,267.0,242.0,364.0,346.0,10
109.0,93.0,-110.65675037693468,163.0,158.0,228.0,251.0,384.0,307.0,7
102.0,78.0,-114.67907530427706,142.0,154.0,228.0,223.0,378.0,302.0,7
1.0,63.0,-124.21497966283542,178.0,133.0,210.0,223.0,394.0,397.0,7
122.0,31.0,-120.66231861150362,152.0,180.0,253.0,224.0,332.0,340.0,7
86.0,88.0,-114.8773459426705,133.0,158.0,255.0,259.0,301.0,342.0,12
130.0,71.0,-115.46394994179605,114.0,169.0,249.0,202.0,305.0,313.0,7
98.0,44.0,-119.60793894873524,168.0,151.0,272.0,220.0,300.0,320.0,7
159.0,40.0,-120.64658055466744,168.0,102.0,272.0,219.0,371.0,360.0,7
184.0,9.0,-123.93290778920172,116.0,186.0,265.0,226.0,356.0,307.0,7
184.0,86.0,-118.76531913730162,114.0,200.0,273.0,259.0,311.0,356.0,7
61.0,90.0,-118.0067230659518,180.0,162.0,276.0,233.0,363.0,387.0,10
39.0,56.0,-122.0061936377184,179.0,117.0,293.0,218.0,374.0,349.0,10
89.0,96.0,-113.3115356559729,113.0,186.0,280.0,217.0,377.0,363.0,7
134.0,44.0,-119.38301581066104,116.0,113.0,233.0,258.0,399.0,359.0,7
28.0,22.0,-124.38347834096696,145.0,195.0,286.0,281.0,344.0,330.0,7
133.0,65.0,-116.5629480241958,141.0,167.0,279.0,219.0,333.0,384.0,8
148.0,59.0,-118.10274123188682,153.0,188.0,219.0,213.0,321.0,350.0,7
56.0,102.0,-118.04268605701031,163.0,105.0,218.0,276.0,396.0,314.0,7
177.0,46.0,-121.07571764813332,172.0,122.0,266.0,256.0,337.0,393.0,10
11.0,8.0,-125.74168286223178,151.0,198.0,212.0,267.0,345.0,352.0,7
89.0,37.0,-120.62757315833105,182.0,113.0,253.0,252.0,399.0,373.0,7
72.0,88.0,-116.77368529011903,141.0,115.0,225.0,249.0,387.0,368.0,7
167.0,75.0,-117.8044025342655,151.0,143.0,200.0,258.0,359.0,352.0,7
29.0,66.0,-122.2279267191882,186.0,199.0,201.0,203.0,338.0,337.0,7
102.0,26.0,-121.31932126019342,103.0,169.0,299.0,218.0,335.0,312.0,10
175.0,5.0,-123.88865635130064,134.0,173.0,288.0,266.0,347.0,364.0,12
13.0,13.0,-125.45078959694035,141.0,113.0,252.0,224.0,353.0,375.0,7
79.0,50.0,-119.83659597710178,167.0,111.0,286.0,216.0,364.0,355.0,8
62.0,55.0,-120.47874549041865,135.0,138.0,241.0,233.0,315.0,341.0,7
87.0,28.0,-121.51104447151776,144.0,128.0,239.0,273.0,370.0,377.0,9
89.0,9.0,-122.99397172619187,188.0,186.0,247.0,250.0,341.0,364.0,9
