,x,y,RSSI,lambda0,lambda1,lambda2,lambda3,lambda4,lambda5,SF
43,25.0,93.0,-121.60375446163305,103.0,134.0,289.0,285.0,353.0,395.0,10
44,95.0,59.0,-117.96928122354755,123.0,115.0,280.0,233.0,351.0,349.0,8
45,128.0,17.0,-122.00207339236972,141.0,161.0,286.0,266.0,351.0,331.0,11
46,82.0,33.0,-121.25004942711922,193.0,156.0,253.0,288.0,360.0,312.0,10
47,55.0,110.0,-117.94175816597712,197.0,195.0,265.0,285.0,360.0,374.0,8
48,133.0,32.0,-120.65199924800184,173.0,119.0,259.0,220.0,354.0,373.0,10
49,134.0,108.0,-106.40258193881922,104.0,129.0,264.0,259.0,379.0,334.0,7
50,57.0,76.0,-119.34995124594258,176.0,144.0,266.0,286.0,390.0,356.0,9
51,172.0,24.0,-122.48906540848397,158.0,174.0,265.0,209.0,392.0,318.0,11
52,39.0,0.0,-125.05214654768884,169.0,162.0,274.0,205.0,382.0,308.0,12
53,70.0,90.0,-116.86918443692502,126.0,139.0,266.0,221.0,365.0,373.0,8
54,52.0,108.0,-118.3808879785738,129.0,146.0,252.0,300.0,369.0,328.0,9
55,57.0,102.0,-117.9117404193592,120.0,190.0,276.0,211.0,398.0,313.0,8
56,86.0,81.0,-115.79799220543782,107.0,116.0,283.0,227.0,392.0,341.0,7
57,83.0,39.0,-120.67419649703024,111.0,199.0,284.0,201.0,378.0,400.0,10
58,29.0,56.0,-122.67947691179089,159.0,149.0,256.0,279.0,386.0,313.0,11
59,75.0,1.0,-123.88577969471834,197.0,154.0,256.0,236.0,387.0,358.0,12
60,34.0,83.0,-121.124409613835,161.0,128.0,288.0,257.0,362.0,357.0,10
61,165.0,96.0,-115.5859981899368,177.0,105.0,259.0,284.0,356.0,357.0,7
62,86.0,94.0,-114.09754919233752,105.0,186.0,284.0,248.0,374.0,399.0,7
63,90.0,101.0,-112.424672736402,119.0,139.0,281.0,282.0,390.0,340.0,7
64,146.0,59.0,-117.9946185999801,186.0,146.0,294.0,288.0,382.0,379.0,8
65,72.0,53.0,-119.9799424953788,132.0,126.0,258.0,244.0,364.0,321.0,9
66,58.0,68.0,-119.81514500938296,111.0,103.0,291.0,270.0,388.0,331.0,9
67,91.0,21.0,-121.996179864067,119.0,163.0,279.0,252.0,350.0,349.0,11
68,20.0,38.0,-124.03520333669212,190.0,195.0,254.0,219.0,387.0,367.0,12
69,150.0,17.0,-122.336745393144,177.0,132.0,254.0,210.0,380.0,314.0,11
70,77.0,93.0,-115.62753234380182,137.0,106.0,297.0,259.0,398.0,330.0,7
71,150.0,44.0,-119.8782328288348,169.0,182.0,250.0,225.0,380.0,393.0,9
72,141.0,81.0,-114.35284573396176,123.0,170.0,300.0,232.0,361.0,363.0,7
73,16.0,4.0,-125.71333803737662,147.0,153.0,291.0,293.0,371.0,399.0,12
74,103.0,73.0,-115.4816375683964,197.0,181.0,279.0,293.0,372.0,307.0,7
75,105.0,74.0,-115.189470741011,154.0,112.0,298.0,291.0,397.0,329.0,7
76,29.0,86.0,-121.4562367947413,180.0,173.0,261.0,224.0,374.0,393.0,10
77,190.0,16.0,-123.73418374398976,179.0,102.0,288.0,252.0,354.0,384.0,12
78,61.0,57.0,-120.3956412880796,189.0,166.0,293.0,239.0,387.0,395.0,9
79,128.0,101.0,-107.4836801676986,105.0,197.0,289.0,279.0,372.0,333.0,7
80,165.0,20.0,-122.53072807103976,158.0,195.0,266.0,279.0,400.0,381.0,11
81,134.0,71.0,-115.62917360086286,127.0,170.0,298.0,207.0,367.0,355.0,7
82,131.0,93.0,-110.59744280045464,150.0,156.0,274.0,216.0,358.0,331.0,7
83,63.0,103.0,-117.0428595835968,119.0,155.0,281.0,265.0,380.0,370.0,8
84,66.0,39.0,-121.477651750682,133.0,165.0,292.0,245.0,383.0,360.0,10
85,113.0,41.0,-119.62494917912171,116.0,188.0,254.0,236.0,370.0,369.0,9
86,187.0,95.0,-118.63921114250024,141.0,166.0,261.0,205.0,351.0,316.0,9
87,64.0,54.0,-120.4208203523475,174.0,186.0,274.0,255.0,376.0,311.0,9
88,75.0,77.0,-117.45676901342506,156.0,156.0,295.0,270.0,400.0,340.0,8
89,20.0,18.0,-124.93122210000824,144.0,155.0,262.0,271.0,389.0,393.0,12
90,105.0,30.0,-120.88850328962818,129.0,130.0,267.0,252.0,374.0,324.0,10
91,12.0,86.0,-122.83496107516616,159.0,194.0,264.0,233.0,371.0,397.0,11
92,72.0,36.0,-121.4212148100762,190.0,116.0,269.0,288.0,391.0,332.0,10
93,173.0,105.0,-116.27104507888367,135.0,197.0,299.0,296.0,369.0,398.0,8
94,101.0,71.0,-115.93307888541094,135.0,124.0,261.0,268.0,374.0,367.0,7
95,156.0,52.0,-119.33197234830794,130.0,123.0,293.0,252.0,398.0,361.0,9
96,46.0,51.0,-121.82542762239976,175.0,197.0,269.0,285.0,359.0,323.0,11
97,21.0,100.0,-121.80418626915844,101.0,139.0,262.0,250.0,362.0,398.0,10
98,89.0,54.0,-118.87649281867616,106.0,181.0,252.0,254.0,358.0,388.0,9
99,30.0,59.0,-122.47246301702984,155.0,181.0,273.0,234.0,379.0,307.0,11
100,151.0,98.0,-112.93566372036476,198.0,111.0,298.0,269.0,387.0,366.0,7
101,43.0,61.0,-121.4460873469696,103.0,145.0,265.0,283.0,386.0,354.0,10
102,117.0,72.0,-115.1259048996858,137.0,106.0,282.0,250.0,364.0,346.0,7
103,170.0,73.0,-118.2842539646838,154.0,131.0,285.0,269.0,392.0,358.0,9
104,61.0,103.0,-117.32797401576748,177.0,100.0,297.0,256.0,360.0,346.0,8
105,9.0,83.0,-123.13090325701052,180.0,157.0,290.0,294.0,393.0,339.0,11
106,54.0,55.0,-121.03143617922058,112.0,187.0,278.0,274.0,355.0,326.0,10
107,36.0,97.0,-120.47150874768587,101.0,135.0,280.0,230.0,359.0,352.0,10
108,172.0,87.0,-117.29704945627734,100.0,198.0,281.0,263.0,393.0,347.0,8
109,164.0,78.0,-117.19535323106656,187.0,190.0,268.0,204.0,372.0,319.0,8
110,167.0,52.0,-119.97435170667114,128.0,200.0,272.0,223.0,355.0,334.0,9
111,2.0,59.0,-124.27561926940652,145.0,179.0,263.0,297.0,394.0,368.0,12
112,129.0,40.0,-119.75376715710394,196.0,128.0,281.0,291.0,396.0,371.0,9
113,13.0,11.0,-125.5350054241696,103.0,182.0,253.0,299.0,354.0,323.0,12
114,100.0,77.0,-115.01288809783397,192.0,154.0,280.0,286.0,391.0,397.0,7
115,17.0,10.0,-125.41343281848236,155.0,195.0,277.0,267.0,395.0,366.0,12
116,59.0,84.0,-118.61670145026946,166.0,141.0,265.0,261.0,356.0,369.0,9
117,20.0,80.0,-122.38559173215911,103.0,190.0,257.0,274.0,376.0,380.0,11
118,55.0,99.0,-118.2870338122955,159.0,182.0,283.0,265.0,370.0,390.0,9
119,144.0,51.0,-118.87075245260311,115.0,173.0,285.0,218.0,372.0,308.0,9
120,92.0,46.0,-119.60941512120542,142.0,143.0,252.0,228.0,400.0,306.0,9
121,40.0,94.0,-120.15978896744974,130.0,190.0,254.0,250.0,384.0,391.0,9
122,129.0,95.0,-109.76804426454164,179.0,120.0,278.0,244.0,394.0,353.0,7
123,50.0,2.0,-124.56739133867026,163.0,143.0,273.0,272.0,363.0,356.0,12
124,82.0,70.0,-117.53672182625382,182.0,153.0,251.0,271.0,376.0,300.0,8
125,148.0,72.0,-116.39505080589164,128.0,189.0,268.0,237.0,373.0,336.0,8
126,158.0,81.0,-116.19719709396476,105.0,143.0,267.0,294.0,364.0,354.0,8
127,174.0,75.0,-118.49870354931892,145.0,125.0,296.0,209.0,365.0,319.0,9
128,79.0,42.0,-120.58025657987946,177.0,180.0,277.0,249.0,379.0,325.0,10
129,10.0,84.0,-123.03305355148972,152.0,148.0,279.0,222.0,386.0,349.0,11
130,64.0,46.0,-121.04732819831496,124.0,153.0,278.0,285.0,391.0,346.0,10
131,25.0,68.0,-122.43661646868912,186.0,112.0,268.0,278.0,373.0,370.0,11
132,29.0,63.0,-122.36002916281716,101.0,124.0,260.0,270.0,391.0,374.0,11
133,146.0,9.0,-122.88637453681451,134.0,146.0,270.0,295.0,363.0,377.0,11
134,17.0,5.0,-125.63128038166158,177.0,160.0,287.0,205.0,364.0,389.0,12
135,31.0,84.0,-121.35042824722944,107.0,187.0,256.0,230.0,384.0,326.0,10
136,102.0,64.0,-116.94325977540802,138.0,140.0,264.0,300.0,381.0,337.0,8
137,14.0,35.0,-124.48027394841633,132.0,110.0,254.0,280.0,388.0,366.0,12
138,104.0,80.0,-114.15042087524716,153.0,196.0,263.0,279.0,394.0,311.0,7
139,48.0,70.0,-120.53417012416064,149.0,185.0,251.0,271.0,370.0,396.0,10
140,87.0,35.0,-120.88618716270506,200.0,139.0,258.0,285.0,378.0,363.0,10
141,83.0,104.0,-113.555729540076,134.0,118.0,252.0,252.0,364.0,368.0,7
142,167.0,79.0,-117.41918838918258,158.0,178.0,263.0,268.0,392.0,301.0,8
143,155.0,70.0,-117.23639633439711,192.0,170.0,258.0,290.0,383.0,317.0,8
144,58.0,104.0,-117.7043467272957,157.0,195.0,271.0,284.0,359.0,306.0,8
145,151.0,34.0,-120.89185181667648,103.0,196.0,265.0,218.0,368.0,359.0,10
146,60.0,109.0,-117.26640028547556,179.0,192.0,271.0,211.0,361.0,362.0,8
147,8.0,63.0,-123.77607929539886,122.0,146.0,250.0,291.0,373.0,339.0,12
148,151.0,41.0,-120.22024538278204,149.0,151.0,260.0,300.0,376.0,391.0,9
149,19.0,5.0,-125.55346472409366,174.0,133.0,257.0,276.0,398.0,302.0,12
150,108.0,42.0,-119.5820088521908,179.0,139.0,250.0,214.0,352.0,335.0,9
151,59.0,88.0,-118.36555808484678,175.0,123.0,282.0,226.0,381.0,344.0,9
152,35.0,49.0,-122.63923900164946,197.0,184.0,259.0,209.0,385.0,336.0,11
153,35.0,10.0,-124.68626882393708,200.0,174.0,268.0,258.0,369.0,309.0,12
154,164.0,56.0,-119.41176596106146,180.0,104.0,279.0,293.0,379.0,338.0,9
155,52.0,56.0,-121.10371495803189,165.0,199.0,299.0,278.0,350.0,399.0,10
156,86.0,54.0,-119.03893798694064,189.0,142.0,300.0,274.0,393.0,350.0,9
157,62.0,98.0,-117.42191951165836,121.0,114.0,264.0,273.0,375.0,339.0,8
158,70.0,51.0,-120.27961130497351,159.0,178.0,291.0,206.0,381.0,318.0,9
159,162.0,72.0,-117.6282957573953,101.0,174.0,279.0,247.0,393.0,357.0,8
160,1.0,77.0,-123.83636740948388,143.0,137.0,269.0,227.0,373.0,391.0,12
161,137.0,104.0,-108.54250281662942,143.0,131.0,281.0,224.0,350.0,323.0,7
162,189.0,3.0,-124.45960282593046,197.0,199.0,284.0,246.0,369.0,367.0,12
163,110.0,17.0,-122.0211084626915,174.0,175.0,284.0,274.0,395.0,334.0,11
164,138.0,68.0,-116.31744953247905,104.0,151.0,286.0,284.0,354.0,376.0,8
165,186.0,64.0,-120.3799390895162,174.0,170.0,257.0,279.0,368.0,353.0,9
166,132.0,102.0,-107.88874823486574,179.0,158.0,272.0,251.0,356.0,313.0,7
167,11.0,37.0,-124.5549763452792,100.0,143.0,291.0,241.0,370.0,326.0,12
168,85.0,71.0,-117.15900560219524,139.0,190.0,266.0,267.0,355.0,380.0,8
169,87.0,94.0,-113.93083113212948,165.0,151.0,257.0,235.0,352.0,315.0,7
170,4.0,104.0,-123.13541181934374,120.0,166.0,297.0,286.0,351.0,313.0,12
171,129.0,1.0,-123.3022872486486,121.0,180.0,265.0,235.0,378.0,318.0,12
172,171.0,92.0,-116.7788858497423,106.0,173.0,276.0,243.0,366.0,370.0,8
173,25.0,8.0,-125.18131131436166,134.0,119.0,285.0,230.0,365.0,319.0,12
174,24.0,4.0,-125.40600105533588,140.0,133.0,263.0,252.0,381.0,385.0,12
175,124.0,50.0,-118.51120125504885,182.0,126.0,263.0,255.0,363.0,353.0,9
176,187.0,89.0,-118.93037397674932,170.0,104.0,258.0,265.0,357.0,349.0,9
177,170.0,9.0,-123.47389538787336,107.0,134.0,262.0,275.0,353.0,370.0,12
178,102.0,95.0,-111.15566711540546,142.0,125.0,266.0,287.0,398.0,306.0,7
179,45.0,108.0,-119.23769231299366,175.0,131.0,259.0,229.0,395.0,352.0,9
180,5.0,29.0,-125.1680569457115,193.0,176.0,253.0,254.0,356.0,394.0,12
181,68.0,71.0,-118.69627480882312,182.0,160.0,290.0,262.0,367.0,375.0,9
182,109.0,100.0,-108.47989401810698,171.0,160.0,266.0,216.0,351.0,333.0,7
183,159.0,71.0,-117.46571918428864,130.0,136.0,277.0,247.0,351.0,343.0,8
184,183.0,82.0,-118.90424819679065,166.0,109.0,273.0,210.0,382.0,398.0,9
185,37.0,12.0,-124.50260771105266,174.0,149.0,284.0,200.0,387.0,310.0,12
186,97.0,75.0,-115.58407667352202,164.0,169.0,278.0,280.0,383.0,313.0,7
187,34.0,1.0,-125.17859510541498,198.0,195.0,262.0,239.0,367.0,388.0,12
188,106.0,22.0,-121.62250662198755,167.0,149.0,271.0,204.0,370.0,303.0,10
189,108.0,68.0,-116.06661912912496,104.0,111.0,282.0,289.0,352.0,399.0,8
190,111.0,59.0,-117.3621177386758,181.0,111.0,299.0,269.0,373.0,361.0,8
191,83.0,53.0,-119.31301210451768,141.0,196.0,288.0,269.0,385.0,332.0,9
192,121.0,43.0,-119.35677602040832,192.0,194.0,264.0,241.0,399.0,383.0,9
193,71.0,99.0,-116.06206160682773,119.0,100.0,293.0,239.0,389.0,317.0,7
194,46.0,71.0,-120.64560701358356,107.0,173.0,286.0,242.0,400.0,321.0,10
195,130.0,8.0,-122.76554972019368,136.0,134.0,261.0,274.0,357.0,359.0,11
196,2.0,39.0,-124.94868665472404,176.0,119.0,297.0,256.0,359.0,346.0,12
197,176.0,41.0,-121.40239057571722,142.0,105.0,289.0,230.0,374.0,355.0,10
198,25.0,18.0,-124.71062386415062,129.0,196.0,257.0,300.0,366.0,380.0,12
199,88.0,60.0,-118.24957401229594,174.0,111.0,283.0,282.0,373.0,318.0,9
200,184.0,50.0,-121.21088645246284,160.0,199.0,253.0,239.0,355.0,400.0,10
201,136.0,20.0,-121.82041930142547,154.0,200.0,284.0,247.0,397.0,393.0,10
202,105.0,62.0,-117.1061726055258,146.0,185.0,251.0,259.0,367.0,348.0,8
203,69.0,80.0,-117.82033767181376,171.0,108.0,286.0,244.0,385.0,319.0,8
204,176.0,9.0,-123.66237374221352,132.0,189.0,264.0,275.0,398.0,348.0,12
205,83.0,95.0,-114.4764409852314,115.0,107.0,294.0,278.0,351.0,323.0,7
206,64.0,39.0,-121.58103168921,117.0,177.0,283.0,263.0,392.0,394.0,10
207,24.0,37.0,-123.8653959758106,111.0,117.0,274.0,292.0,390.0,334.0,12
208,74.0,47.0,-120.39170359576384,198.0,180.0,264.0,233.0,393.0,379.0,9
209,169.0,74.0,-118.09617885328736,145.0,134.0,299.0,249.0,379.0,349.0,8
210,53.0,43.0,-121.90424848436584,124.0,194.0,271.0,300.0,355.0,302.0,11
211,79.0,61.0,-118.74547447621052,125.0,133.0,290.0,259.0,365.0,369.0,9
212,7.0,17.0,-125.5442445043666,158.0,122.0,257.0,268.0,381.0,391.0,12
213,178.0,7.0,-123.8553606918388,133.0,154.0,275.0,234.0,361.0,349.0,12
214,164.0,9.0,-123.30002009572009,131.0,198.0,262.0,201.0,394.0,359.0,12
215,189.0,26.0,-123.07928522612816,172.0,170.0,281.0,222.0,381.0,390.0,11
216,59.0,39.0,-121.84487197251144,186.0,125.0,267.0,300.0,386.0,321.0,11
217,124.0,98.0,-108.24070498794052,200.0,191.0,277.0,298.0,391.0,334.0,7
218,131.0,101.0,-108.03057264434788,159.0,177.0,270.0,295.0,371.0,322.0,7
219,78.0,100.0,-114.84034861885593,138.0,196.0,286.0,290.0,361.0,387.0,7
220,142.0,70.0,-116.24706410621016,162.0,159.0,268.0,296.0,350.0,307.0,8
221,80.0,19.0,-122.4629036930728,197.0,138.0,273.0,230.0,384.0,344.0,11
222,64.0,31.0,-122.17147733341724,120.0,128.0,299.0,225.0,375.0,319.0,11
223,27.0,84.0,-121.69241538307269,106.0,155.0,285.0,275.0,369.0,355.0,10
224,91.0,12.0,-122.7223173813064,193.0,104.0,297.0,290.0,373.0,368.0,11
225,179.0,20.0,-123.04338515721945,188.0,118.0,251.0,266.0,397.0,304.0,11
226,128.0,77.0,-114.25971550038396,126.0,122.0,288.0,205.0,395.0,351.0,7
227,128.0,24.0,-121.371749809179,144.0,131.0,253.0,232.0,400.0,396.0,10
228,34.0,51.0,-122.59899690999184,101.0,116.0,285.0,218.0,394.0,348.0,11
229,84.0,84.0,-115.65342805656678,160.0,169.0,268.0,239.0,363.0,327.0,7
230,122.0,67.0,-116.00076302660416,151.0,131.0,255.0,226.0,366.0,371.0,7
231,74.0,72.0,-118.04894546768202,184.0,170.0,286.0,249.0,353.0,316.0,8
232,111.0,17.0,-122.01291467489992,193.0,167.0,293.0,273.0,386.0,385.0,11
233,43.0,76.0,-120.63818853893156,158.0,135.0,298.0,204.0,350.0,366.0,10
234,81.0,42.0,-120.48635624001496,179.0,138.0,283.0,226.0,352.0,355.0,10
235,18.0,25.0,-124.71062386415062,157.0,127.0,269.0,273.0,383.0,400.0,12
236,18.0,106.0,-121.97580821696012,143.0,194.0,279.0,217.0,386.0,363.0,11
237,134.0,8.0,-122.79884336596822,177.0,170.0,268.0,224.0,365.0,344.0,11
238,34.0,15.0,-124.47052906470437,103.0,167.0,279.0,206.0,399.0,335.0,12
239,71.0,8.0,-123.52697332486032,104.0,131.0,293.0,233.0,374.0,353.0,12
240,183.0,95.0,-118.154761472304,181.0,110.0,271.0,210.0,353.0,333.0,8
241,117.0,100.0,-107.379625073485,189.0,139.0,271.0,265.0,385.0,307.0,7
242,32.0,46.0,-122.97645815190728,171.0,137.0,251.0,216.0,350.0,357.0,11
243,69.0,29.0,-122.09927097785794,180.0,108.0,271.0,274.0,351.0,357.0,11
244,155.0,66.0,-117.71586605168986,139.0,113.0,295.0,252.0,398.0,320.0,8
245,139.0,87.0,-112.9882254525876,106.0,193.0,252.0,292.0,395.0,304.0,7
246,150.0,71.0,-116.69463418938196,190.0,107.0,272.0,251.0,357.0,304.0,8
247,151.0,66.0,-117.42146019609194,200.0,169.0,285.0,276.0,399.0,387.0,8
248,50.0,58.0,-121.11603284698135,167.0,161.0,293.0,220.0,375.0,370.0,10
249,56.0,88.0,-118.70714035875528,155.0,108.0,290.0,289.0,353.0,375.0,9
250,153.0,41.0,-120.29890923934516,138.0,135.0,257.0,226.0,381.0,356.0,9
251,14.0,17.0,-125.23867132583834,197.0,103.0,262.0,211.0,357.0,340.0,12
252,157.0,68.0,-117.63897937845246,119.0,141.0,258.0,243.0,386.0,331.0,8
253,132.0,86.0,-112.5118687910105,181.0,112.0,262.0,201.0,396.0,313.0,7
254,22.0,97.0,-121.77461592832476,120.0,176.0,283.0,208.0,361.0,329.0,10
255,160.0,81.0,-116.42725345688253,105.0,134.0,260.0,271.0,350.0,396.0,8
256,139.0,15.0,-122.2910242658666,101.0,151.0,287.0,248.0,361.0,305.0,11
257,86.0,32.0,-121.19269253571248,104.0,155.0,257.0,239.0,363.0,340.0,10
258,149.0,3.0,-123.38884099045076,147.0,128.0,277.0,297.0,379.0,329.0,12
259,49.0,88.0,-119.46807612296908,107.0,122.0,250.0,263.0,396.0,331.0,9
260,69.0,76.0,-118.16618989394576,110.0,175.0,260.0,259.0,381.0,389.0,8
261,19.0,86.0,-122.2895500754144,116.0,175.0,252.0,234.0,360.0,394.0,11
262,9.0,105.0,-122.73498754597505,181.0,141.0,275.0,234.0,357.0,303.0,11
263,46.0,26.0,-123.33373702509216,136.0,110.0,300.0,211.0,389.0,373.0,12
264,145.0,105.0,-110.52633298586512,192.0,124.0,265.0,228.0,360.0,386.0,7
265,174.0,58.0,-119.92144232868868,149.0,199.0,267.0,201.0,377.0,343.0,9
266,146.0,70.0,-116.52446517550172,185.0,172.0,258.0,228.0,358.0,369.0,8
267,89.0,103.0,-112.38405809894562,161.0,161.0,297.0,237.0,391.0,351.0,7
268,24.0,29.0,-124.23883372492293,157.0,168.0,295.0,258.0,350.0,307.0,12
269,45.0,49.0,-122.01019667234068,144.0,129.0,258.0,252.0,389.0,361.0,11
270,137.0,21.0,-121.74656984587943,142.0,126.0,290.0,241.0,367.0,379.0,10
271,177.0,24.0,-122.68968194879474,189.0,179.0,269.0,215.0,390.0,395.0,11
272,67.0,64.0,-119.3809378851983,183.0,188.0,284.0,299.0,371.0,300.0,9
273,39.0,70.0,-121.27540068579005,130.0,142.0,287.0,235.0,370.0,306.0,10
274,94.0,92.0,-113.08216606270145,179.0,173.0,297.0,243.0,372.0,341.0,7
275,179.0,97.0,-117.53904423265531,183.0,111.0,295.0,260.0,387.0,375.0,8
276,51.0,21.0,-123.41148497556712,130.0,190.0,299.0,255.0,381.0,343.0,12
277,147.0,8.0,-122.98096801405,163.0,103.0,300.0,253.0,390.0,357.0,11
278,31.0,72.0,-121.81881076234508,100.0,129.0,255.0,243.0,375.0,378.0,10
279,186.0,47.0,-121.54433349422348,132.0,162.0,257.0,216.0,369.0,362.0,10
280,139.0,19.0,-121.95221668219436,147.0,183.0,300.0,233.0,398.0,383.0,11
281,91.0,18.0,-122.2442378263735,143.0,138.0,295.0,254.0,394.0,388.0,11
282,128.0,84.0,-112.72409698807915,102.0,142.0,277.0,258.0,397.0,330.0,7
283,90.0,83.0,-115.05635352156068,134.0,165.0,298.0,277.0,391.0,302.0,7
284,40.0,19.0,-124.00190938155636,138.0,165.0,291.0,248.0,390.0,383.0,12
285,182.0,35.0,-122.15077099720268,197.0,120.0,297.0,225.0,398.0,339.0,11
286,156.0,21.0,-122.17054879446124,145.0,163.0,294.0,271.0,392.0,308.0,11
287,2.0,57.0,-124.33859159011456,125.0,115.0,284.0,227.0,351.0,340.0,12
288,42.0,60.0,-121.57525521210748,181.0,172.0,278.0,299.0,365.0,352.0,10
289,129.0,62.0,-116.9071029844965,100.0,128.0,274.0,221.0,378.0,360.0,8
290,13.0,38.0,-124.40938196638334,184.0,189.0,264.0,277.0,378.0,334.0,12
291,166.0,49.0,-120.18456761672589,142.0,162.0,298.0,207.0,366.0,327.0,9
292,88.0,31.0,-121.21505362770858,105.0,116.0,254.0,270.0,386.0,346.0,10
293,160.0,44.0,-120.32392512086042,185.0,177.0,273.0,265.0,398.0,328.0,9
294,147.0,105.0,-111.0456942234742,129.0,158.0,262.0,224.0,377.0,385.0,7
295,178.0,109.0,-116.89471123500468,123.0,199.0,268.0,289.0,378.0,391.0,8
296,136.0,70.0,-115.89491733115268,184.0,125.0,290.0,212.0,352.0,351.0,7
297,129.0,17.0,-122.00901201653176,121.0,172.0,256.0,243.0,375.0,399.0,11
298,38.0,73.0,-121.21110347011675,120.0,174.0,296.0,221.0,384.0,329.0,10
299,37.0,67.0,-121.58125562098138,110.0,196.0,254.0,283.0,396.0,375.0,10
