,x,y,RSSI,lambda0,lambda1,lambda2,lambda3,lambda4,lambda5,SF
47,17.0,5.0,-125.63128038166158,137.0,132.0,254.0,223.0,349.0,378.0,12
48,48.0,109.0,-118.86028948563704,128.0,169.0,247.0,288.0,314.0,320.0,7
49,110.0,3.0,-123.1597388963107,187.0,173.0,235.0,211.0,355.0,393.0,9
50,144.0,29.0,-121.15658679633,122.0,168.0,268.0,284.0,303.0,378.0,8
51,126.0,92.0,-110.45360344046068,100.0,108.0,292.0,206.0,342.0,397.0,7
52,89.0,103.0,-112.38405809894562,109.0,192.0,212.0,239.0,323.0,399.0,7
53,162.0,26.0,-121.9618019783198,157.0,145.0,254.0,289.0,352.0,341.0,8
54,35.0,12.0,-124.58349431133108,188.0,109.0,232.0,298.0,378.0,324.0,10
55,49.0,26.0,-123.19468043195582,168.0,122.0,247.0,297.0,328.0,351.0,9
56,141.0,9.0,-122.80515076632295,127.0,169.0,210.0,272.0,310.0,374.0,9
57,180.0,47.0,-121.17895876673325,125.0,122.0,239.0,202.0,317.0,352.0,8
58,29.0,51.0,-122.91526343728964,188.0,172.0,242.0,218.0,326.0,310.0,9
59,151.0,16.0,-122.44037877203952,149.0,137.0,255.0,269.0,334.0,385.0,8
60,77.0,55.0,-119.47661565403357,132.0,156.0,300.0,233.0,396.0,300.0,7
61,38.0,61.0,-121.81093504033883,152.0,165.0,281.0,219.0,398.0,321.0,8
62,190.0,25.0,-123.18684530887046,139.0,190.0,230.0,297.0,398.0,340.0,9
63,42.0,64.0,-121.3541452161225,200.0,116.0,239.0,224.0,363.0,374.0,8
64,109.0,41.0,-119.67745170190024,110.0,106.0,210.0,234.0,371.0,342.0,7
65,168.0,46.0,-120.56119461859691,122.0,133.0,205.0,298.0,340.0,390.0,8
66,142.0,67.0,-116.692162362653,174.0,127.0,251.0,226.0,321.0,335.0,7
67,184.0,3.0,-124.29468219279508,113.0,198.0,241.0,229.0,396.0,310.0,10
68,127.0,16.0,-122.08266400613728,184.0,195.0,232.0,237.0,338.0,374.0,8
69,80.0,29.0,-121.66391801117948,197.0,172.0,281.0,271.0,336.0,334.0,8
70,186.0,8.0,-124.06354503417744,172.0,134.0,290.0,218.0,394.0,323.0,10
71,66.0,99.0,-116.80896505965156,119.0,115.0,206.0,252.0,362.0,378.0,7
72,111.0,81.0,-113.4852692711856,177.0,155.0,299.0,203.0,387.0,370.0,7
73,108.0,76.0,-114.6575759664309,144.0,128.0,208.0,243.0,305.0,394.0,7
74,32.0,17.0,-124.45391435683048,168.0,154.0,282.0,223.0,400.0,345.0,10
75,183.0,36.0,-122.13237859215916,114.0,148.0,271.0,254.0,360.0,365.0,8
76,165.0,101.0,-115.18972425747904,153.0,113.0,216.0,228.0,352.0,353.0,7
77,140.0,92.0,-112.06622647096064,165.0,191.0,201.0,298.0,394.0,369.0,7
78,177.0,9.0,-123.6950635071868,160.0,182.0,282.0,211.0,364.0,372.0,10
79,116.0,50.0,-118.51496406860132,170.0,157.0,295.0,203.0,344.0,396.0,7
80,120.0,33.0,-120.45592593755052,195.0,151.0,230.0,278.0,300.0,371.0,8
81,185.0,71.0,-119.82262971312667,127.0,159.0,241.0,231.0,382.0,385.0,7
82,104.0,67.0,-116.39835835346602,188.0,137.0,215.0,224.0,323.0,321.0,7
83,185.0,70.0,-119.89004296125636,169.0,181.0,249.0,299.0,347.0,336.0,7
84,158.0,84.0,-115.83827678289438,124.0,190.0,297.0,284.0,398.0,368.0,7
85,113.0,101.0,-107.40686979310156,110.0,129.0,276.0,214.0,332.0,339.0,7
86,80.0,18.0,-122.53966255789432,119.0,121.0,211.0,247.0,303.0,374.0,9
87,167.0,80.0,-117.32346143689772,100.0,154.0,285.0,276.0,353.0,351.0,7
88,140.0,54.0,-118.35306592222474,148.0,110.0,238.0,255.0,342.0,390.0,7
89,76.0,85.0,-116.5433564182662,166.0,126.0,274.0,293.0,379.0,392.0,7
90,180.0,81.0,-118.65499740067398,134.0,164.0,230.0,228.0,317.0,353.0,7
91,146.0,0.0,-123.55586763640213,164.0,160.0,204.0,217.0,321.0,377.0,10
92,41.0,44.0,-122.5470254953578,178.0,151.0,211.0,222.0,318.0,305.0,9
93,120.0,47.0,-118.87617550161416,106.0,156.0,238.0,258.0,308.0,343.0,7
94,90.0,68.0,-117.13056730376027,185.0,150.0,280.0,251.0,373.0,349.0,7
95,82.0,46.0,-120.06188468005404,200.0,127.0,267.0,294.0,376.0,362.0,7
96,171.0,85.0,-117.33810573243014,166.0,116.0,278.0,217.0,358.0,333.0,7
97,44.0,63.0,-121.258065828855,151.0,129.0,222.0,201.0,330.0,365.0,8
98,112.0,12.0,-122.4301124186365,128.0,128.0,211.0,271.0,376.0,320.0,8
99,48.0,69.0,-120.59297109979758,118.0,129.0,231.0,290.0,388.0,398.0,8
100,163.0,13.0,-122.98577146687887,166.0,145.0,273.0,248.0,340.0,374.0,9
101,155.0,101.0,-113.3471260879407,127.0,175.0,233.0,270.0,376.0,368.0,7
102,57.0,88.0,-118.59433414245952,158.0,156.0,287.0,263.0,316.0,351.0,7
103,129.0,70.0,-115.606829021099,144.0,172.0,289.0,224.0,342.0,342.0,7
104,20.0,96.0,-121.96737953643918,138.0,189.0,222.0,278.0,356.0,351.0,8
105,99.0,77.0,-115.0943331632601,185.0,200.0,214.0,266.0,308.0,353.0,7
106,73.0,65.0,-118.80830300994154,148.0,111.0,267.0,286.0,365.0,367.0,7
107,100.0,72.0,-115.83844125356885,111.0,124.0,241.0,274.0,346.0,384.0,7
108,141.0,20.0,-121.89971715386044,162.0,134.0,242.0,230.0,359.0,383.0,8
109,31.0,28.0,-123.94308960111118,185.0,119.0,246.0,248.0,382.0,317.0,10
110,1.0,29.0,-125.3599628300318,163.0,169.0,200.0,248.0,333.0,355.0,12
111,6.0,15.0,-125.66651076308408,144.0,134.0,200.0,257.0,333.0,386.0,12
112,128.0,78.0,-114.0551473344079,102.0,109.0,275.0,234.0,342.0,398.0,7
113,56.0,68.0,-119.98489362642752,130.0,184.0,259.0,280.0,393.0,372.0,7
114,120.0,110.0,-101.11998193442736,168.0,104.0,278.0,248.0,329.0,380.0,7
115,75.0,68.0,-118.35240559171643,104.0,186.0,219.0,283.0,364.0,357.0,7
116,90.0,88.0,-114.31763538254803,183.0,173.0,248.0,221.0,367.0,356.0,7
117,40.0,29.0,-123.44850122894084,169.0,141.0,232.0,207.0,388.0,383.0,9
118,180.0,58.0,-120.35464481763128,109.0,142.0,203.0,250.0,301.0,392.0,8
119,84.0,10.0,-123.03305355148972,148.0,107.0,285.0,293.0,319.0,347.0,9
120,37.0,58.0,-122.03806648999556,132.0,153.0,232.0,283.0,396.0,392.0,8
121,125.0,18.0,-121.8985461508779,111.0,136.0,213.0,264.0,393.0,366.0,8
122,175.0,73.0,-118.7595760434774,113.0,101.0,243.0,284.0,305.0,301.0,7
123,152.0,105.0,-112.2600702820311,138.0,132.0,249.0,236.0,384.0,349.0,7
124,143.0,24.0,-121.58795989812634,186.0,184.0,222.0,236.0,308.0,303.0,8
125,69.0,74.0,-118.3410504276365,176.0,111.0,242.0,204.0,324.0,310.0,7
126,64.0,98.0,-117.14779774382114,159.0,200.0,262.0,280.0,310.0,322.0,7
127,84.0,87.0,-115.28017001225824,163.0,192.0,282.0,242.0,342.0,373.0,7
128,56.0,56.0,-120.82272964317032,132.0,182.0,202.0,269.0,341.0,377.0,8
129,21.0,80.0,-122.3077207740871,138.0,123.0,201.0,270.0,391.0,391.0,8
130,112.0,99.0,-108.33435634522908,121.0,137.0,279.0,265.0,349.0,328.0,7
131,100.0,6.0,-123.03097820240322,158.0,183.0,286.0,220.0,400.0,361.0,9
132,111.0,38.0,-119.97969395944575,138.0,151.0,290.0,243.0,343.0,348.0,7
133,156.0,93.0,-114.46390545467092,163.0,196.0,247.0,265.0,372.0,382.0,7
134,125.0,55.0,-117.8553023281801,138.0,104.0,252.0,287.0,391.0,323.0,7
135,100.0,14.0,-122.39671459804237,130.0,158.0,222.0,204.0,363.0,344.0,8
136,77.0,78.0,-117.14361271740184,118.0,200.0,219.0,212.0,353.0,390.0,7
137,105.0,32.0,-120.69183323701908,122.0,104.0,289.0,300.0,377.0,385.0,8
138,153.0,47.0,-119.69869643402166,123.0,188.0,298.0,293.0,396.0,354.0,7
139,92.0,18.0,-122.22121574557414,190.0,105.0,277.0,278.0,349.0,334.0,8
140,141.0,74.0,-115.55050190753798,133.0,100.0,231.0,266.0,344.0,369.0,7
141,58.0,44.0,-121.54552585893369,165.0,139.0,269.0,217.0,352.0,359.0,8
142,38.0,6.0,-124.7773063886977,146.0,134.0,280.0,271.0,377.0,380.0,11
143,159.0,92.0,-115.04806143445528,189.0,151.0,206.0,256.0,365.0,303.0,7
144,176.0,76.0,-118.61562058351268,109.0,136.0,264.0,279.0,365.0,323.0,7
145,102.0,42.0,-119.71192085461588,135.0,161.0,272.0,298.0,325.0,346.0,7
146,187.0,60.0,-120.72731659795122,172.0,160.0,208.0,205.0,353.0,308.0,8
147,155.0,79.0,-116.11043969592816,161.0,185.0,215.0,215.0,367.0,329.0,7
148,187.0,40.0,-122.07466248575167,127.0,156.0,251.0,226.0,330.0,397.0,8
149,161.0,56.0,-119.21822466674053,114.0,191.0,240.0,284.0,340.0,325.0,7
150,38.0,107.0,-120.03867376309364,127.0,124.0,296.0,288.0,336.0,311.0,7
151,110.0,99.0,-108.6450192411717,131.0,157.0,229.0,219.0,379.0,325.0,7
152,190.0,66.0,-120.5694976629456,162.0,153.0,248.0,265.0,381.0,353.0,8
153,50.0,8.0,-124.22454288445309,132.0,191.0,285.0,271.0,369.0,351.0,10
154,117.0,69.0,-115.66837808177416,115.0,153.0,235.0,238.0,393.0,359.0,7
155,57.0,92.0,-118.3721199967471,105.0,139.0,267.0,219.0,399.0,339.0,7
156,168.0,107.0,-115.34384063913096,185.0,127.0,291.0,289.0,366.0,378.0,7
157,10.0,52.0,-124.0346493029559,120.0,128.0,263.0,242.0,398.0,380.0,10
158,162.0,76.0,-117.19787129297356,123.0,152.0,264.0,253.0,310.0,306.0,7
159,39.0,33.0,-123.27628268077244,129.0,196.0,227.0,283.0,330.0,383.0,9
160,80.0,44.0,-120.3490546605686,158.0,161.0,277.0,276.0,318.0,384.0,8
161,38.0,73.0,-121.21110347011675,108.0,125.0,241.0,263.0,396.0,311.0,8
162,111.0,42.0,-119.5353046792498,100.0,182.0,222.0,224.0,344.0,314.0,7
163,2.0,45.0,-124.73781591162714,162.0,110.0,286.0,223.0,366.0,312.0,11
164,103.0,95.0,-110.98742117549476,158.0,107.0,202.0,270.0,339.0,327.0,7
165,172.0,101.0,-116.3210775016032,124.0,178.0,219.0,257.0,349.0,367.0,7
166,172.0,66.0,-119.08534556641138,141.0,114.0,273.0,231.0,351.0,374.0,7
167,184.0,93.0,-118.37775192520344,183.0,134.0,233.0,285.0,320.0,317.0,7
168,158.0,59.0,-118.71356014346604,164.0,170.0,287.0,283.0,308.0,379.0,7
169,67.0,106.0,-116.3085702941688,104.0,113.0,291.0,234.0,366.0,357.0,7
170,99.0,28.0,-121.19287324010156,101.0,116.0,290.0,231.0,304.0,314.0,8
171,42.0,35.0,-123.00674737679648,194.0,117.0,252.0,235.0,317.0,348.0,9
172,26.0,104.0,-121.2853693585776,103.0,147.0,227.0,293.0,366.0,352.0,8
173,141.0,17.0,-122.15542626366867,172.0,158.0,206.0,224.0,308.0,375.0,8
174,116.0,89.0,-111.26534216908556,134.0,136.0,274.0,254.0,347.0,393.0,7
175,108.0,59.0,-117.43744234803728,116.0,174.0,296.0,206.0,348.0,347.0,7
176,62.0,53.0,-120.63252335456572,128.0,104.0,258.0,248.0,391.0,318.0,8
177,93.0,25.0,-121.60375446163305,116.0,157.0,202.0,283.0,313.0,391.0,8
178,86.0,43.0,-120.16711689959604,156.0,117.0,233.0,280.0,347.0,301.0,7
179,101.0,86.0,-113.25044599594509,147.0,182.0,233.0,261.0,313.0,371.0,7
180,118.0,70.0,-115.481301139929,200.0,192.0,249.0,229.0,301.0,391.0,7
181,75.0,28.0,-121.93316511336808,186.0,135.0,205.0,211.0,373.0,387.0,8
182,119.0,56.0,-117.69374807581416,178.0,134.0,209.0,253.0,348.0,303.0,7
183,24.0,59.0,-122.87844709769324,172.0,161.0,236.0,234.0,368.0,362.0,9
184,174.0,49.0,-120.6599946560197,149.0,120.0,299.0,264.0,313.0,314.0,8
185,125.0,82.0,-113.07660804133894,158.0,105.0,213.0,288.0,397.0,354.0,7
186,48.0,88.0,-119.57279989328272,120.0,149.0,230.0,211.0,305.0,306.0,7
187,127.0,25.0,-121.27085855188484,141.0,192.0,223.0,240.0,352.0,315.0,8
188,69.0,56.0,-119.9162183943128,160.0,128.0,232.0,274.0,333.0,339.0,7
189,46.0,0.0,-124.81248177425678,131.0,180.0,264.0,217.0,306.0,365.0,11
190,123.0,2.0,-123.20444399835417,168.0,142.0,277.0,228.0,325.0,339.0,9
191,169.0,33.0,-121.6825111764596,193.0,103.0,298.0,282.0,320.0,349.0,8
192,166.0,28.0,-121.95197578134533,140.0,131.0,248.0,245.0,377.0,396.0,8
193,155.0,99.0,-113.57331781094848,113.0,153.0,249.0,200.0,327.0,365.0,7
194,31.0,39.0,-123.38707069242564,182.0,191.0,206.0,286.0,312.0,331.0,9
195,156.0,89.0,-114.95898370749154,136.0,161.0,239.0,290.0,376.0,334.0,7
196,84.0,42.0,-120.35085744073658,147.0,200.0,255.0,266.0,307.0,315.0,8
197,38.0,29.0,-123.54682238099826,199.0,141.0,269.0,211.0,377.0,349.0,10
198,163.0,20.0,-122.46468367231545,157.0,194.0,227.0,239.0,317.0,300.0,9
199,116.0,7.0,-122.81815256663262,170.0,120.0,216.0,255.0,300.0,322.0,9
200,54.0,37.0,-122.24794251906135,168.0,148.0,287.0,228.0,346.0,316.0,8
201,167.0,72.0,-118.09424081814538,105.0,190.0,214.0,266.0,334.0,301.0,7
202,62.0,68.0,-119.47295315527312,156.0,186.0,225.0,249.0,312.0,391.0,7
203,36.0,47.0,-122.68275032270282,182.0,147.0,270.0,280.0,316.0,316.0,9
204,73.0,69.0,-118.42879444016988,184.0,102.0,221.0,247.0,388.0,380.0,7
205,46.0,1.0,-124.75799941490774,104.0,190.0,242.0,255.0,339.0,343.0,11
206,79.0,13.0,-122.94333031942594,119.0,113.0,257.0,215.0,327.0,380.0,9
207,65.0,76.0,-118.5674369435174,102.0,102.0,229.0,290.0,304.0,332.0,7
208,100.0,31.0,-120.88745898801736,114.0,124.0,296.0,235.0,357.0,353.0,8
209,134.0,90.0,-111.73560271005124,103.0,139.0,256.0,247.0,373.0,309.0,7
210,106.0,54.0,-118.17333854638632,124.0,189.0,263.0,210.0,381.0,374.0,7
211,133.0,33.0,-120.55118887512128,156.0,199.0,283.0,202.0,328.0,396.0,8
212,149.0,63.0,-117.66513907806224,136.0,175.0,203.0,221.0,308.0,383.0,7
213,98.0,32.0,-120.8373186155874,188.0,133.0,280.0,232.0,378.0,395.0,8
214,184.0,19.0,-123.3077653552237,178.0,173.0,293.0,246.0,397.0,323.0,9
215,48.0,44.0,-122.13258127735963,116.0,148.0,280.0,249.0,323.0,335.0,8
216,0.0,106.0,-123.41655904383998,185.0,110.0,276.0,215.0,352.0,394.0,9
217,122.0,79.0,-113.69773657847564,186.0,193.0,249.0,215.0,397.0,338.0,7
218,156.0,55.0,-119.01646370241276,124.0,106.0,257.0,270.0,399.0,308.0,7
219,40.0,71.0,-121.14436594762049,186.0,103.0,216.0,248.0,375.0,380.0,8
220,20.0,87.0,-122.1819379598456,187.0,177.0,255.0,262.0,316.0,333.0,8
221,164.0,110.0,-114.4596723309009,180.0,177.0,221.0,257.0,323.0,388.0,7
222,42.0,13.0,-124.24780203049512,143.0,134.0,225.0,225.0,301.0,371.0,10
223,167.0,50.0,-120.1535748317318,158.0,184.0,221.0,230.0,392.0,347.0,7
224,182.0,33.0,-122.28926224220284,124.0,122.0,217.0,219.0,338.0,322.0,8
225,74.0,81.0,-117.17315788594055,101.0,131.0,274.0,213.0,355.0,331.0,7
226,108.0,106.0,-106.59093176860917,131.0,193.0,232.0,204.0,379.0,345.0,7
227,149.0,27.0,-121.466465206625,109.0,153.0,255.0,243.0,380.0,356.0,8
228,67.0,62.0,-119.55010107451744,129.0,171.0,202.0,287.0,331.0,315.0,7
229,161.0,2.0,-123.70861266912314,131.0,191.0,259.0,282.0,311.0,384.0,10
230,165.0,66.0,-118.50718890055252,160.0,107.0,261.0,295.0,373.0,354.0,7
231,136.0,85.0,-113.0911121030158,168.0,199.0,300.0,249.0,303.0,357.0,7
232,165.0,9.0,-123.32789795320406,147.0,174.0,258.0,215.0,353.0,377.0,9
233,168.0,66.0,-118.75371695595156,139.0,154.0,221.0,234.0,326.0,363.0,7
234,75.0,27.0,-122.01182548934248,113.0,196.0,231.0,276.0,335.0,389.0,8
235,129.0,19.0,-121.83361116213626,143.0,109.0,204.0,266.0,302.0,308.0,8
236,134.0,99.0,-109.2766641010374,152.0,130.0,284.0,282.0,314.0,367.0,7
237,86.0,100.0,-113.3645528520152,178.0,107.0,240.0,296.0,375.0,358.0,7
238,94.0,60.0,-117.896689249426,183.0,193.0,252.0,243.0,312.0,398.0,7
239,38.0,81.0,-120.84966228598776,140.0,165.0,263.0,219.0,315.0,378.0,8
240,107.0,1.0,-123.33355960745784,183.0,198.0,225.0,284.0,398.0,390.0,9
241,32.0,72.0,-121.74025715945884,127.0,172.0,270.0,277.0,331.0,314.0,8
242,160.0,78.0,-116.76801755346868,197.0,175.0,281.0,294.0,377.0,322.0,7
243,109.0,65.0,-116.51263550846508,116.0,189.0,263.0,293.0,373.0,368.0,7
244,17.0,87.0,-122.42256332445012,185.0,162.0,239.0,235.0,390.0,383.0,8
245,89.0,78.0,-115.8771534986148,124.0,180.0,238.0,239.0,359.0,302.0,7
246,28.0,53.0,-122.88435233040752,154.0,194.0,297.0,300.0,357.0,361.0,9
247,39.0,89.0,-120.43564790413524,148.0,179.0,202.0,253.0,302.0,343.0,8
248,5.0,36.0,-124.90370873765602,151.0,153.0,219.0,265.0,307.0,333.0,11
249,135.0,10.0,-122.64930314649764,164.0,147.0,228.0,291.0,363.0,366.0,9
250,75.0,45.0,-120.5136998885439,169.0,130.0,209.0,293.0,342.0,387.0,8
251,151.0,55.0,-118.7367710689885,186.0,187.0,267.0,262.0,307.0,303.0,7
252,48.0,32.0,-122.87586056575772,183.0,127.0,297.0,237.0,366.0,307.0,9
253,136.0,45.0,-119.31285396778384,164.0,131.0,285.0,206.0,318.0,379.0,7
254,48.0,34.0,-122.75303895251524,127.0,112.0,288.0,284.0,399.0,306.0,9
255,128.0,78.0,-114.0551473344079,124.0,112.0,217.0,243.0,347.0,388.0,7
256,164.0,30.0,-121.71410637815666,108.0,174.0,200.0,226.0,381.0,330.0,8
257,186.0,105.0,-118.13526449576248,127.0,186.0,254.0,209.0,334.0,337.0,7
258,105.0,70.0,-115.87040368300066,114.0,197.0,204.0,226.0,306.0,393.0,7
259,169.0,88.0,-116.83622171276568,193.0,159.0,275.0,256.0,338.0,327.0,7
260,109.0,17.0,-122.0301247681387,126.0,151.0,295.0,205.0,315.0,384.0,8
261,176.0,5.0,-123.9192031469976,107.0,133.0,237.0,278.0,389.0,389.0,10
262,6.0,30.0,-125.0813301748185,113.0,194.0,201.0,271.0,312.0,393.0,11
263,13.0,24.0,-124.98845308754414,165.0,190.0,262.0,207.0,358.0,358.0,11
264,132.0,31.0,-120.73809591909476,181.0,175.0,212.0,278.0,332.0,369.0,8
265,186.0,90.0,-118.76610027449856,145.0,197.0,244.0,259.0,328.0,360.0,7
266,185.0,74.0,-119.62270285715287,122.0,149.0,261.0,240.0,392.0,334.0,7
267,72.0,20.0,-122.65161403200722,189.0,103.0,255.0,286.0,334.0,362.0,9
268,112.0,64.0,-116.58724493830266,115.0,196.0,246.0,243.0,348.0,366.0,7
269,86.0,25.0,-121.79764898738084,104.0,168.0,278.0,200.0,309.0,321.0,8
270,136.0,109.0,-106.85170748236746,118.0,144.0,236.0,264.0,331.0,321.0,7
271,185.0,27.0,-122.83328242830468,160.0,139.0,280.0,250.0,325.0,399.0,9
272,28.0,78.0,-121.81944807673328,131.0,144.0,226.0,292.0,309.0,302.0,8
273,121.0,89.0,-111.18484844201508,197.0,190.0,214.0,263.0,304.0,346.0,7
274,186.0,51.0,-121.2704447789856,141.0,188.0,287.0,271.0,312.0,311.0,8
275,154.0,49.0,-119.53982233200486,163.0,136.0,209.0,225.0,307.0,320.0,7
276,8.0,110.0,-122.76921734851148,127.0,149.0,274.0,286.0,336.0,399.0,9
277,85.0,0.0,-123.72596635665562,100.0,122.0,226.0,234.0,307.0,364.0,10
278,178.0,17.0,-123.20570279853716,183.0,102.0,246.0,272.0,355.0,398.0,9
279,85.0,68.0,-117.51912172982054,154.0,150.0,237.0,248.0,351.0,331.0,7
280,14.0,13.0,-125.40867989127278,190.0,107.0,256.0,216.0,349.0,328.0,12
281,157.0,86.0,-115.46814024424428,118.0,153.0,266.0,290.0,399.0,326.0,7
282,88.0,30.0,-121.30418325286692,176.0,192.0,261.0,300.0,309.0,318.0,8
283,146.0,100.0,-111.60555225175754,117.0,126.0,208.0,266.0,362.0,354.0,7
284,168.0,101.0,-115.68921156964204,110.0,134.0,271.0,211.0,392.0,306.0,7
285,34.0,33.0,-123.53483734685196,133.0,131.0,203.0,250.0,365.0,389.0,10
286,189.0,70.0,-120.23549873516104,175.0,195.0,232.0,285.0,365.0,324.0,7
287,123.0,60.0,-117.12078028392276,101.0,174.0,219.0,272.0,324.0,310.0,7
288,169.0,69.0,-118.55929782672834,200.0,199.0,294.0,287.0,359.0,359.0,7
289,36.0,2.0,-125.05632912299411,117.0,156.0,220.0,290.0,392.0,397.0,11
290,141.0,95.0,-111.58512127711386,112.0,194.0,218.0,222.0,374.0,361.0,7
291,143.0,36.0,-120.45746298072766,147.0,179.0,293.0,272.0,331.0,373.0,8
292,90.0,97.0,-112.98547471903385,195.0,154.0,282.0,238.0,390.0,361.0,7
293,92.0,51.0,-119.0643997917394,177.0,116.0,255.0,297.0,358.0,330.0,7
294,134.0,82.0,-113.55585087386947,189.0,114.0,272.0,237.0,332.0,325.0,7
295,190.0,95.0,-118.98850552772709,129.0,170.0,243.0,209.0,372.0,328.0,7
296,16.0,57.0,-123.47956793701223,176.0,134.0,225.0,249.0,361.0,356.0,9
297,142.0,87.0,-113.34977078496546,102.0,127.0,213.0,277.0,361.0,348.0,7
298,63.0,84.0,-118.17304771555432,157.0,134.0,279.0,238.0,345.0,360.0,7
299,172.0,50.0,-120.455579472746,137.0,177.0,242.0,271.0,344.0,374.0,8
300,65.0,14.0,-123.31657418987636,123.0,146.0,204.0,204.0,331.0,323.0,9
301,100.0,86.0,-113.3645528520152,148.0,148.0,281.0,265.0,344.0,393.0,7
302,16.0,31.0,-124.54719395875208,152.0,190.0,207.0,245.0,325.0,397.0,10
303,115.0,46.0,-119.02118141028484,172.0,200.0,294.0,300.0,356.0,393.0,7
304,183.0,15.0,-123.52325416380036,200.0,146.0,221.0,237.0,393.0,324.0,10
305,55.0,50.0,-121.30796932819806,117.0,120.0,296.0,232.0,370.0,377.0,8
306,13.0,104.0,-122.4226768364305,124.0,145.0,242.0,220.0,363.0,383.0,8
307,109.0,76.0,-114.60693183974794,127.0,170.0,291.0,230.0,392.0,314.0,7
308,48.0,5.0,-124.46709804419883,190.0,135.0,278.0,298.0,310.0,380.0,10
