,lambda,x,y,RSSI,SF
44,120.0,38.0,27.0,-123.65591891939462,12
45,141.0,60.0,38.0,-121.86315391508202,10
46,128.0,35.0,5.0,-124.94111494735829,12
47,27.0,112.0,18.0,-121.91820248034855,10
48,77.0,178.0,71.0,-119.19593146286137,9
49,145.0,48.0,4.0,-124.52325364081815,12
50,21.0,16.0,11.0,-125.41105698007138,12
51,156.0,188.0,55.0,-121.13412994673136,10
52,126.0,73.0,37.0,-121.29341628077788,10
53,89.0,60.0,48.0,-121.136488302536,10
54,158.0,180.0,110.0,-117.1650264778914,8
55,101.0,72.0,63.0,-119.07417759943708,9
56,17.0,168.0,0.0,-124.01454996749246,12
57,152.0,164.0,95.0,-115.51753311759084,7
58,90.0,82.0,12.0,-122.93544660290608,11
59,136.0,123.0,46.0,-119.00474899333352,8
60,41.0,51.0,91.0,-119.11059205013872,9
61,17.0,63.0,52.0,-120.6439181444804,9
62,13.0,127.0,98.0,-108.51130689985314,7
63,40.0,12.0,87.0,-122.8112475659332,11
64,62.0,61.0,13.0,-123.5232385579645,11
65,8.0,51.0,38.0,-122.34308771094176,11
66,144.0,87.0,83.0,-115.41529669536015,7
67,120.0,150.0,14.0,-122.5761507705223,11
68,22.0,60.0,12.0,-123.62290658916685,12
69,103.0,189.0,9.0,-124.1113134250611,12
70,129.0,173.0,71.0,-118.7405911517546,8
71,21.0,73.0,88.0,-116.64379673726364,8
72,92.0,161.0,12.0,-123.00218962429211,11
73,56.0,14.0,78.0,-122.89864951451835,11
74,164.0,24.0,67.0,-122.5488567708036,11
75,199.0,11.0,42.0,-124.3574095826545,12
76,135.0,166.0,104.0,-115.15904343899253,7
77,67.0,138.0,65.0,-116.77210918249772,8
78,21.0,171.0,76.0,-118.11408474789263,8
79,60.0,25.0,85.0,-121.82818462813654,10
80,163.0,79.0,67.0,-118.11914976241636,8
81,123.0,190.0,63.0,-120.75899343169678,10
82,179.0,101.0,98.0,-110.63878332956196,7
83,20.0,68.0,47.0,-120.73405612721146,10
84,145.0,50.0,12.0,-123.991468461195,12
85,16.0,70.0,19.0,-122.79472149730988,11
86,200.0,52.0,4.0,-124.38569204173334,12
87,96.0,21.0,35.0,-124.11586136530946,12
88,80.0,151.0,29.0,-121.34627971298858,10
89,142.0,146.0,109.0,-110.21902691173436,7
90,158.0,172.0,57.0,-119.86401986013016,9
91,65.0,94.0,16.0,-122.34159144453211,11
92,109.0,56.0,30.0,-122.6131790488179,11
93,199.0,114.0,22.0,-121.54667492492597,10
94,164.0,26.0,55.0,-122.92162007039406,11
95,6.0,144.0,85.0,-113.95903152003142,7
96,196.0,64.0,43.0,-121.27788942943552,10
97,9.0,144.0,0.0,-123.52621552603092,11
98,89.0,56.0,40.0,-121.9377009646727,10
99,155.0,112.0,90.0,-111.21306162606167,7
100,199.0,66.0,85.0,-117.75497665668544,8
101,108.0,55.0,74.0,-119.6702782672784,9
102,113.0,36.0,47.0,-122.68275032270282,11
103,197.0,188.0,70.0,-120.14967608303806,9
104,69.0,136.0,84.0,-113.30272779616408,7
105,92.0,85.0,30.0,-121.40268039699112,10
106,185.0,30.0,26.0,-124.09205602383248,12
107,191.0,58.0,13.0,-123.63158266774948,12
108,45.0,168.0,22.0,-122.48569608728953,11
109,26.0,45.0,79.0,-120.30633467075036,9
110,142.0,113.0,16.0,-122.08565061390684,10
111,20.0,114.0,22.0,-121.54667492492597,10
112,9.0,189.0,83.0,-119.4646635318624,9
113,123.0,44.0,15.0,-124.05569749413598,12
114,77.0,41.0,38.0,-122.88886545206444,11
115,122.0,41.0,50.0,-122.20626218769344,10
116,180.0,105.0,59.0,-117.53197736452825,8
117,198.0,167.0,18.0,-122.74585666472912,11
118,160.0,16.0,34.0,-124.4191400685095,12
119,160.0,145.0,59.0,-117.94267643707244,8
120,131.0,137.0,52.0,-118.50139512527367,8
121,111.0,2.0,69.0,-123.97961849821468,12
122,59.0,184.0,44.0,-121.6318570119933,10
123,131.0,87.0,103.0,-112.81950794135123,7
124,90.0,89.0,46.0,-119.73538955028,9
125,147.0,159.0,92.0,-115.04806143445528,7
126,103.0,140.0,58.0,-117.83914967854108,8
127,154.0,183.0,107.0,-117.6736861061525,8
128,13.0,102.0,69.0,-116.18967993135296,8
129,115.0,52.0,7.0,-124.21125621606876,12
130,175.0,54.0,73.0,-119.8264000573275,9
131,15.0,176.0,5.0,-123.9192031469976,12
132,182.0,170.0,44.0,-120.8398694609488,10
133,42.0,3.0,24.0,-125.4520623103956,12
134,52.0,31.0,59.0,-122.40380262885918,11
135,105.0,7.0,31.0,-124.9937743725302,12
136,121.0,5.0,104.0,-123.0588845202519,11
137,193.0,45.0,93.0,-119.6761748186128,9
138,114.0,49.0,105.0,-118.82854694806682,8
139,35.0,1.0,39.0,-125.00049595127184,12
140,145.0,110.0,53.0,-118.20806537251266,8
141,184.0,171.0,60.0,-119.53223039038582,9
142,122.0,65.0,75.0,-118.64739089326892,8
143,189.0,102.0,49.0,-118.91326459703627,8
144,68.0,190.0,2.0,-124.5501235942817,12
145,112.0,81.0,3.0,-123.60516249064308,12
146,57.0,177.0,21.0,-122.89703780391258,11
147,92.0,132.0,81.0,-113.62783319853938,7
148,189.0,55.0,48.0,-121.4458566122274,10
149,84.0,148.0,75.0,-115.96637827699924,7
150,193.0,111.0,85.0,-112.57121463663908,7
151,172.0,11.0,64.0,-123.54917798745144,12
152,49.0,59.0,15.0,-123.46755034602748,11
153,21.0,5.0,55.0,-124.22582229062304,12
154,123.0,169.0,99.0,-115.98204778000448,7
155,42.0,132.0,44.0,-119.34451040934368,9
156,39.0,79.0,61.0,-118.74547447621052,8
157,149.0,68.0,82.0,-117.76307678714976,8
158,192.0,162.0,78.0,-116.98161961612767,8
159,106.0,179.0,36.0,-121.92898878226016,10
160,132.0,54.0,14.0,-123.71899176419558,12
161,20.0,1.0,28.0,-125.39657073253711,12
162,137.0,113.0,30.0,-120.79035183662052,10
163,158.0,98.0,72.0,-115.97651717900882,7
164,19.0,139.0,48.0,-119.04604513462876,8
165,29.0,179.0,26.0,-122.63506633346674,11
166,133.0,118.0,94.0,-109.6410175056148,7
167,200.0,12.0,22.0,-125.11804260559882,12
168,168.0,96.0,103.0,-110.74187534516685,7
169,25.0,125.0,37.0,-120.04662570028336,9
170,17.0,141.0,94.0,-111.79785615093996,7
171,177.0,78.0,43.0,-120.5385131851492,9
172,117.0,94.0,20.0,-122.01006454715916,10
173,198.0,88.0,13.0,-122.7111811281148,11
174,186.0,108.0,26.0,-121.22870418236693,10
175,90.0,69.0,42.0,-121.08489254525034,10
176,105.0,154.0,109.0,-112.34986340745134,7
177,62.0,184.0,92.0,-118.42962581238658,8
178,42.0,40.0,61.0,-121.66579066603109,10
179,50.0,3.0,50.0,-124.51081843460938,12
180,141.0,178.0,9.0,-123.72809332716564,12
181,71.0,106.0,4.0,-123.11536345682336,11
182,193.0,114.0,69.0,-115.716992944231,7
183,30.0,82.0,90.0,-115.20203654336665,7
184,128.0,74.0,51.0,-120.0349729792506,9
185,71.0,35.0,71.0,-121.54736041145736,10
186,175.0,63.0,57.0,-120.2533298504957,9
187,185.0,100.0,86.0,-113.3645528520152,7
188,86.0,165.0,98.0,-115.42079633584694,7
189,176.0,71.0,3.0,-123.85933968370551,12
190,32.0,21.0,49.0,-123.49731482104482,11
191,75.0,184.0,78.0,-119.26463682494062,9
192,47.0,36.0,40.0,-123.05622296515456,11
193,87.0,186.0,69.0,-120.0434024612888,9
194,77.0,104.0,89.0,-112.26373014992043,7
195,82.0,189.0,85.0,-119.356225021091,9
196,132.0,163.0,20.0,-122.46468367231545,11
197,106.0,102.0,58.0,-117.77903131290743,8
198,184.0,89.0,87.0,-114.60182080467663,7
199,113.0,100.0,99.0,-110.61787952175249,7
200,123.0,90.0,4.0,-123.34396857551296,11
201,65.0,138.0,27.0,-121.21719789778136,10
202,61.0,132.0,4.0,-123.09377801092788,11
203,54.0,169.0,90.0,-116.66782117841971,8
204,32.0,75.0,2.0,-123.81936062140196,12
205,180.0,161.0,94.0,-115.14509945671576,7
206,63.0,79.0,108.0,-114.0717538631432,7
207,170.0,59.0,57.0,-120.5382677038982,9
208,142.0,175.0,50.0,-120.6412269133212,9
209,151.0,15.0,49.0,-123.8540752199431,12
210,40.0,52.0,85.0,-119.30573612719871,9
211,14.0,8.0,36.0,-124.74987886189568,12
212,143.0,53.0,0.0,-124.58275824672518,12
213,12.0,80.0,89.0,-115.59896193285331,7
214,170.0,79.0,95.0,-115.1273249879712,7
215,127.0,124.0,2.0,-123.20653659721523,11
216,70.0,92.0,39.0,-120.3279831917761,9
217,27.0,179.0,62.0,-119.97478353395476,9
218,162.0,100.0,30.0,-120.98322282182258,10
219,16.0,56.0,6.0,-124.13242598812906,12
220,12.0,63.0,17.0,-123.1876945515102,11
221,40.0,44.0,24.0,-123.54277628108692,12
222,107.0,88.0,45.0,-119.8812373948116,9
223,118.0,49.0,71.0,-120.3902085514315,9
224,101.0,29.0,103.0,-121.01948134223436,10
225,30.0,139.0,33.0,-120.659598443135,10
226,23.0,91.0,77.0,-115.81871508896003,7
227,121.0,104.0,36.0,-120.30495396278572,9
228,30.0,101.0,1.0,-123.3943490133552,11
229,189.0,35.0,100.0,-120.49448693787328,9
230,4.0,93.0,91.0,-113.40721228548746,7
231,91.0,168.0,38.0,-121.23413444802998,10
232,100.0,131.0,52.0,-118.34802926245354,8
233,62.0,38.0,81.0,-120.84966228598776,10
234,171.0,96.0,48.0,-119.23430501874014,9
235,128.0,84.0,87.0,-115.28017001225824,7
236,48.0,74.0,93.0,-116.06919155649264,8
237,141.0,140.0,83.0,-113.88618856265713,7
238,19.0,36.0,95.0,-120.52850884063484,9
239,175.0,8.0,15.0,-125.5809206194692,12
240,115.0,23.0,27.0,-124.38099134499772,12
241,36.0,9.0,99.0,-122.8127822013621,11
242,189.0,181.0,6.0,-124.01541362414196,12
243,141.0,124.0,1.0,-123.28252666743788,11
244,3.0,24.0,76.0,-122.20882161013732,10
245,105.0,56.0,8.0,-124.0117524097407,12
246,59.0,98.0,36.0,-120.44452112649304,9
247,128.0,169.0,99.0,-115.98204778000448,7
248,32.0,50.0,42.0,-122.14239259617165,10
249,74.0,114.0,63.0,-116.70375298293148,8
250,146.0,88.0,102.0,-112.72194631643156,7
251,185.0,50.0,76.0,-120.00785880232502,9
252,90.0,113.0,48.0,-118.79730167863616,8
253,148.0,12.0,12.0,-125.53462005205613,12
254,86.0,57.0,34.0,-122.29556207437987,11
255,130.0,112.0,30.0,-120.7988908860651,10
256,60.0,151.0,24.0,-121.78130927797744,10
257,174.0,187.0,36.0,-122.33952968900684,11
258,40.0,57.0,19.0,-123.28831924724976,11
259,191.0,65.0,10.0,-123.58136288960765,12
260,141.0,40.0,85.0,-120.49751913405396,9
261,20.0,84.0,1.0,-123.6773905085399,12
262,143.0,121.0,19.0,-121.80031227158877,10
263,163.0,21.0,84.0,-122.1855924137472,10
264,69.0,148.0,16.0,-122.37280201905244,11
265,191.0,164.0,48.0,-120.16217915606322,9
266,10.0,54.0,76.0,-119.63518880183692,9
267,149.0,34.0,4.0,-125.02882549929336,12
268,4.0,170.0,73.0,-118.2842539646838,8
269,23.0,157.0,76.0,-116.69164768573992,8
270,4.0,161.0,35.0,-121.17541263479303,10
271,119.0,117.0,109.0,-102.3206665522884,7
272,191.0,125.0,91.0,-110.7021181319506,7
273,181.0,14.0,35.0,-124.48027394841633,12
274,74.0,6.0,83.0,-123.34759090968478,11
275,148.0,41.0,93.0,-120.09214431792093,9
276,32.0,82.0,35.0,-121.07502738034977,10
277,194.0,188.0,105.0,-118.3925280791086,8
278,157.0,74.0,68.0,-118.43807715307318,8
279,76.0,166.0,92.0,-116.08181827271208,8
280,54.0,2.0,91.0,-123.47035157994468,11
281,82.0,158.0,45.0,-120.13273529048442,9
282,89.0,188.0,7.0,-124.19310387066103,12
283,79.0,51.0,8.0,-124.188468904268,12
284,146.0,179.0,8.0,-123.8247863704566,12
285,180.0,80.0,101.0,-114.3987632747189,7
286,104.0,125.0,34.0,-120.36539480477646,9
287,92.0,55.0,63.0,-120.41004650787812,9
288,58.0,35.0,34.0,-123.43011502522197,11
289,160.0,68.0,33.0,-121.8402693227863,10
290,184.0,58.0,19.0,-123.248372957548,11
291,65.0,128.0,104.0,-106.20042470262894,7
292,48.0,155.0,33.0,-121.12051189304243,10
293,29.0,47.0,79.0,-120.12042662387624,9
294,52.0,154.0,97.0,-113.62891712770566,7
295,160.0,139.0,27.0,-121.23544667685428,10
296,68.0,164.0,55.0,-119.50755457284028,9
297,161.0,116.0,49.0,-118.64217086922446,8
298,68.0,115.0,48.0,-118.77581317908776,8
299,66.0,165.0,104.0,-114.98220872447716,7
300,143.0,106.0,94.0,-110.77480040750464,7
301,45.0,101.0,54.0,-118.33518327243776,8
302,122.0,92.0,20.0,-122.05568137644477,10
303,170.0,114.0,78.0,-114.00400656537067,7
304,109.0,64.0,101.0,-116.99143857565772,8
305,120.0,77.0,105.0,-114.64692270234858,7
306,63.0,69.0,23.0,-122.54306232826488,11
307,172.0,130.0,13.0,-122.35718698448372,11
308,98.0,45.0,75.0,-120.5136998885439,9
309,51.0,59.0,43.0,-121.55948586136785,10
310,127.0,8.0,57.0,-123.97719649641196,12
311,143.0,150.0,46.0,-119.6705940707165,9
312,104.0,11.0,54.0,-123.90148443303625,12
313,30.0,148.0,15.0,-122.4533818930254,11
314,186.0,49.0,79.0,-119.93186942834882,9
315,185.0,28.0,106.0,-121.06582851933751,10
316,19.0,188.0,66.0,-120.40756689555155,9
317,90.0,181.0,5.0,-124.076902875998,12
318,136.0,78.0,43.0,-120.5385131851492,9
319,158.0,36.0,29.0,-123.64539150582402,12
320,161.0,99.0,31.0,-120.90978698677309,10
321,79.0,65.0,81.0,-118.17453795810135,8
322,52.0,122.0,22.0,-121.52981127141292,10
323,155.0,88.0,106.0,-112.27276006988312,7
324,51.0,159.0,43.0,-120.36952317293516,9
325,44.0,104.0,43.0,-119.55207046412396,9
326,134.0,122.0,0.0,-123.35445982402324,11
327,139.0,71.0,32.0,-121.78357846863535,10
328,12.0,47.0,37.0,-122.62164528247764,11
329,55.0,1.0,14.0,-125.91750180106231,12
330,160.0,86.0,67.0,-117.5598534342286,8
331,86.0,3.0,42.0,-124.78925018565982,12
332,143.0,114.0,83.0,-112.89413795580374,7
333,29.0,40.0,79.0,-120.75960646578216,10
334,35.0,13.0,76.0,-123.030229149225,11
335,85.0,146.0,51.0,-118.95338362999767,8
336,149.0,67.0,79.0,-118.11914976241636,8
337,125.0,51.0,60.0,-120.91450485925004,10
338,69.0,175.0,2.0,-124.0789357425939,12
339,93.0,63.0,35.0,-121.92784904813522,10
340,33.0,58.0,23.0,-122.9871239484966,11
341,68.0,136.0,85.0,-113.0911121030158,7
342,25.0,181.0,77.0,-119.03662060925517,8
343,74.0,14.0,59.0,-123.53150757729868,11
344,113.0,142.0,7.0,-122.9752305208692,11
345,49.0,174.0,108.0,-116.30676834509244,8
346,18.0,36.0,79.0,-121.11059146911576,10
347,147.0,99.0,62.0,-117.37110085621134,8
348,15.0,165.0,49.0,-120.12720552365936,9
349,58.0,8.0,63.0,-123.77607929539886,12
350,12.0,29.0,66.0,-122.2279267191882,10
351,19.0,29.0,47.0,-123.10730155911202,11
352,47.0,97.0,8.0,-122.9214904928169,11
353,98.0,187.0,95.0,-118.63921114250024,8
354,109.0,88.0,12.0,-122.78811687585258,11
355,107.0,49.0,29.0,-123.01095556341733,11
356,160.0,151.0,99.0,-112.79711679609268,7
357,115.0,29.0,109.0,-120.92899242649284,10
358,82.0,83.0,19.0,-122.37356799138244,11
359,181.0,26.0,67.0,-122.40436252597137,11
360,78.0,107.0,58.0,-117.60670395101236,8
361,78.0,58.0,105.0,-117.66983513698985,8
362,185.0,55.0,107.0,-118.01419241845612,8
363,58.0,0.0,63.0,-124.27637512497654,12
364,104.0,143.0,48.0,-119.17857888928484,9
365,17.0,14.0,74.0,-123.01931792508049,11
366,148.0,189.0,83.0,-119.4646635318624,9
367,6.0,171.0,103.0,-116.05321194470748,7
368,98.0,74.0,36.0,-121.3297375658382,10
369,97.0,54.0,106.0,-118.17333854638632,8
370,184.0,79.0,100.0,-114.66523330268294,7
371,55.0,93.0,92.0,-113.2417562779987,7
372,48.0,8.0,40.0,-124.59643544096156,12
373,190.0,102.0,47.0,-119.14830031956038,9
374,118.0,187.0,83.0,-119.25990385213792,9
375,93.0,125.0,62.0,-116.83635357905872,8
376,111.0,144.0,58.0,-118.01966038162476,8
377,49.0,131.0,24.0,-121.39852797135632,10
378,98.0,156.0,12.0,-122.87121241060524,11
379,126.0,62.0,79.0,-118.64250505892318,8
380,105.0,33.0,1.0,-125.21462867222328,12
381,191.0,50.0,50.0,-121.62911781442648,10
382,42.0,73.0,46.0,-120.53445246433157,9
383,185.0,12.0,85.0,-122.85924764779251,11
384,25.0,63.0,52.0,-120.6439181444804,10
385,28.0,188.0,67.0,-120.34263702820542,9
386,17.0,134.0,34.0,-120.46497175603358,9
387,129.0,7.0,41.0,-124.61206228593883,12
388,162.0,58.0,3.0,-124.24700917001826,12
389,120.0,76.0,57.0,-119.34995124594258,9
390,76.0,181.0,106.0,-117.42598766803616,8
391,41.0,39.0,37.0,-123.05422115117926,11
392,55.0,124.0,78.0,-113.94130863963248,7
393,67.0,94.0,74.0,-115.98455653546878,7
394,33.0,41.0,24.0,-123.68038787985124,12
395,137.0,71.0,47.0,-120.5609096040414,9
396,168.0,110.0,5.0,-123.00553417587642,11
397,5.0,184.0,65.0,-120.15071795675028,9
398,197.0,131.0,13.0,-122.36515644504772,11
399,29.0,119.0,23.0,-121.43674112910546,10
