,x,y,RSSI,lambda0,lambda1,lambda2,lambda3,lambda4,lambda5,SF
29,123.0,61.0,-116.96992895088374,159.0,103.0,249.0,261.0,366.0,301.0,7
30,51.0,79.0,-119.74065966463743,163.0,129.0,285.0,234.0,389.0,326.0,7
31,126.0,41.0,-119.61087761444978,154.0,102.0,298.0,282.0,385.0,380.0,7
32,40.0,13.0,-124.32830787391948,124.0,175.0,257.0,279.0,372.0,370.0,10
33,101.0,85.0,-113.44929671292311,196.0,174.0,209.0,298.0,372.0,334.0,7
34,112.0,94.0,-110.03372808514384,124.0,113.0,208.0,209.0,375.0,330.0,7
35,123.0,42.0,-119.47807548954466,155.0,192.0,227.0,292.0,360.0,301.0,7
36,13.0,83.0,-122.83462176048003,130.0,178.0,240.0,232.0,348.0,312.0,8
37,162.0,73.0,-117.52106678156264,101.0,115.0,277.0,284.0,322.0,321.0,7
38,74.0,60.0,-119.2040054945072,128.0,111.0,268.0,203.0,319.0,374.0,7
39,144.0,103.0,-110.61392771613826,163.0,161.0,299.0,238.0,378.0,370.0,7
40,43.0,5.0,-124.64597070595286,112.0,143.0,283.0,266.0,308.0,338.0,11
41,3.0,82.0,-123.58220700543836,133.0,126.0,230.0,295.0,367.0,315.0,9
42,148.0,103.0,-111.58200960968,190.0,116.0,291.0,292.0,308.0,389.0,7
43,70.0,46.0,-120.70186064514851,117.0,123.0,266.0,259.0,378.0,342.0,8
44,168.0,10.0,-123.3454331529024,139.0,137.0,266.0,210.0,385.0,375.0,9
45,75.0,109.0,-114.79675502442927,128.0,123.0,264.0,288.0,392.0,304.0,7
46,125.0,63.0,-116.68099712551624,185.0,198.0,222.0,239.0,343.0,330.0,7
47,69.0,97.0,-116.49573935065604,102.0,146.0,204.0,220.0,383.0,349.0,7
48,115.0,95.0,-109.44859980124272,156.0,176.0,264.0,264.0,358.0,397.0,7
49,181.0,85.0,-118.49525552808016,163.0,106.0,261.0,235.0,322.0,347.0,7
50,188.0,73.0,-119.96003465756876,122.0,112.0,265.0,224.0,390.0,392.0,7
51,104.0,29.0,-121.00189764092954,172.0,155.0,220.0,295.0,335.0,319.0,8
52,51.0,69.0,-120.34179810336175,125.0,158.0,224.0,229.0,388.0,390.0,7
53,128.0,91.0,-110.89068217764938,116.0,152.0,280.0,206.0,319.0,329.0,7
54,58.0,53.0,-120.899473746142,153.0,162.0,213.0,259.0,312.0,390.0,8
55,12.0,47.0,-124.10673834898554,166.0,125.0,201.0,230.0,324.0,358.0,10
56,3.0,36.0,-125.00559324811178,141.0,154.0,277.0,205.0,390.0,394.0,11
57,189.0,5.0,-124.3444585969705,187.0,186.0,247.0,204.0,357.0,398.0,10
58,28.0,31.0,-123.94308960111118,128.0,186.0,274.0,208.0,366.0,330.0,10
59,178.0,52.0,-120.6754981527386,122.0,165.0,287.0,232.0,361.0,355.0,8
60,121.0,33.0,-120.456213211282,190.0,103.0,244.0,257.0,312.0,350.0,7
61,20.0,37.0,-124.07943714818288,126.0,122.0,240.0,252.0,315.0,371.0,10
62,121.0,83.0,-112.7702752305281,119.0,164.0,241.0,285.0,365.0,361.0,7
63,140.0,52.0,-118.60038702808592,190.0,197.0,212.0,274.0,374.0,303.0,7
64,44.0,19.0,-123.82927144530235,119.0,196.0,201.0,253.0,335.0,339.0,9
65,40.0,61.0,-121.66579066603109,185.0,148.0,256.0,207.0,329.0,364.0,8
66,25.0,58.0,-122.85479249165098,126.0,108.0,237.0,268.0,306.0,307.0,8
67,140.0,7.0,-122.94696638195728,100.0,100.0,265.0,285.0,359.0,329.0,8
68,168.0,47.0,-120.47488404247504,187.0,129.0,219.0,211.0,344.0,382.0,7
69,184.0,69.0,-119.87187325424742,137.0,168.0,251.0,266.0,303.0,381.0,7
70,49.0,95.0,-119.16062774381147,135.0,175.0,220.0,278.0,324.0,394.0,7
71,8.0,50.0,-124.22454288445309,119.0,191.0,267.0,277.0,379.0,302.0,10
72,33.0,57.0,-122.36354238102489,152.0,143.0,256.0,277.0,302.0,366.0,8
73,18.0,92.0,-122.22121574557414,117.0,183.0,213.0,276.0,381.0,376.0,8
74,72.0,4.0,-123.76594871066698,105.0,123.0,216.0,289.0,321.0,369.0,9
75,73.0,78.0,-117.57001453580796,190.0,189.0,221.0,237.0,372.0,359.0,7
76,76.0,87.0,-116.3457973489981,126.0,139.0,238.0,244.0,395.0,325.0,7
77,39.0,72.0,-121.17684670129913,168.0,146.0,221.0,288.0,393.0,350.0,8
78,23.0,63.0,-122.78004641562563,195.0,125.0,266.0,216.0,304.0,398.0,8
79,184.0,42.0,-121.77099024100993,138.0,104.0,239.0,269.0,348.0,380.0,8
80,32.0,51.0,-122.72602026931683,133.0,179.0,207.0,299.0,307.0,316.0,8
81,31.0,83.0,-121.38606193964328,187.0,169.0,272.0,299.0,393.0,306.0,8
82,145.0,22.0,-121.80606837793432,117.0,138.0,207.0,270.0,364.0,365.0,8
83,83.0,11.0,-122.98383588737116,166.0,119.0,237.0,272.0,363.0,333.0,9
84,118.0,61.0,-116.96681994737682,194.0,117.0,207.0,201.0,397.0,319.0,7
85,137.0,4.0,-123.14064696873533,151.0,113.0,216.0,259.0,365.0,341.0,9
86,72.0,15.0,-123.01175015828376,193.0,100.0,228.0,291.0,362.0,384.0,9
87,106.0,4.0,-123.11536345682336,176.0,183.0,264.0,262.0,384.0,336.0,9
88,85.0,13.0,-122.78352416791331,180.0,176.0,272.0,228.0,346.0,347.0,8
89,7.0,92.0,-123.08453305475015,115.0,106.0,223.0,213.0,309.0,336.0,9
90,171.0,0.0,-124.09356564050344,165.0,151.0,240.0,260.0,321.0,389.0,10
91,106.0,30.0,-120.87256542715062,133.0,120.0,295.0,249.0,394.0,307.0,8
92,157.0,17.0,-122.51521542170354,106.0,100.0,220.0,285.0,365.0,358.0,8
93,97.0,95.0,-112.03046317854496,131.0,182.0,214.0,266.0,330.0,384.0,7
94,3.0,69.0,-123.91512662948696,123.0,185.0,204.0,207.0,369.0,315.0,10
95,168.0,53.0,-119.94719158663898,186.0,116.0,283.0,245.0,357.0,327.0,7
96,174.0,11.0,-123.46564851694512,110.0,198.0,283.0,245.0,328.0,372.0,9
97,112.0,103.0,-106.74767315944848,121.0,128.0,229.0,218.0,350.0,322.0,7
98,108.0,8.0,-122.78519526627144,136.0,190.0,280.0,204.0,344.0,389.0,8
99,54.0,63.0,-120.48817907977109,194.0,129.0,255.0,276.0,305.0,306.0,8
100,31.0,103.0,-120.8263676790654,162.0,194.0,249.0,271.0,335.0,322.0,8
101,16.0,48.0,-123.8355871255821,170.0,167.0,280.0,260.0,321.0,317.0,9
102,29.0,92.0,-121.27431772377946,114.0,130.0,294.0,214.0,312.0,371.0,8
103,173.0,34.0,-121.78639220690296,193.0,181.0,231.0,200.0,373.0,371.0,8
104,135.0,84.0,-113.21373396512554,157.0,186.0,223.0,205.0,391.0,354.0,7
105,150.0,28.0,-121.40581091747444,158.0,121.0,210.0,294.0,348.0,318.0,8
106,116.0,103.0,-106.08336755703886,149.0,104.0,286.0,218.0,376.0,316.0,7
107,47.0,25.0,-123.34689257006288,152.0,144.0,283.0,280.0,320.0,342.0,9
108,37.0,47.0,-122.62164528247764,101.0,156.0,293.0,263.0,311.0,355.0,8
109,78.0,90.0,-115.77544954086346,137.0,140.0,264.0,237.0,385.0,347.0,7
110,34.0,22.0,-124.10899714461792,118.0,154.0,210.0,207.0,399.0,398.0,10
111,167.0,41.0,-120.935345274562,103.0,169.0,272.0,241.0,333.0,324.0,8
112,156.0,96.0,-114.10449877204152,162.0,177.0,258.0,291.0,380.0,371.0,7
113,84.0,15.0,-122.6564963672036,107.0,143.0,211.0,273.0,364.0,315.0,8
114,90.0,15.0,-122.50866214068272,112.0,121.0,209.0,278.0,375.0,356.0,8
115,94.0,70.0,-116.56229369464212,185.0,110.0,233.0,210.0,391.0,321.0,7
116,25.0,74.0,-122.2046007687054,186.0,145.0,247.0,210.0,368.0,307.0,8
117,166.0,21.0,-122.48968612606669,198.0,120.0,230.0,215.0,380.0,389.0,8
118,45.0,49.0,-122.01019667234068,127.0,133.0,217.0,222.0,321.0,395.0,8
119,148.0,102.0,-111.72983870898602,180.0,101.0,287.0,293.0,324.0,343.0,7
120,132.0,78.0,-114.24195586260232,112.0,126.0,290.0,262.0,377.0,376.0,7
121,1.0,108.0,-123.32554832557054,106.0,129.0,221.0,243.0,332.0,355.0,9
122,149.0,27.0,-121.466465206625,168.0,192.0,252.0,277.0,310.0,349.0,8
123,68.0,2.0,-124.007675732656,100.0,190.0,262.0,274.0,354.0,383.0,10
124,181.0,63.0,-120.05552231928787,169.0,139.0,270.0,216.0,331.0,377.0,7
125,90.0,102.0,-112.29099320932788,189.0,111.0,245.0,240.0,362.0,331.0,7
126,120.0,55.0,-117.8315848696761,199.0,198.0,238.0,250.0,326.0,344.0,7
127,104.0,2.0,-123.28658530485704,165.0,193.0,278.0,259.0,323.0,369.0,9
128,162.0,110.0,-114.05994881855943,118.0,171.0,210.0,240.0,345.0,392.0,7
129,181.0,100.0,-117.66009199935434,151.0,140.0,255.0,214.0,346.0,391.0,7
130,40.0,40.0,-122.83120517830896,197.0,118.0,274.0,257.0,345.0,324.0,8
131,45.0,36.0,-122.78910732835922,114.0,156.0,202.0,249.0,326.0,307.0,8
132,80.0,61.0,-118.67429906315618,195.0,122.0,268.0,285.0,310.0,379.0,7
133,1.0,1.0,-126.40879362923847,115.0,193.0,295.0,206.0,373.0,365.0,12
134,162.0,44.0,-120.42238488968864,150.0,143.0,221.0,238.0,341.0,333.0,7
135,46.0,96.0,-119.45656093674714,185.0,146.0,286.0,290.0,313.0,334.0,7
136,37.0,40.0,-122.9999976225658,131.0,100.0,283.0,238.0,334.0,383.0,9
137,10.0,21.0,-125.25017827292427,123.0,176.0,205.0,233.0,334.0,335.0,11
138,24.0,15.0,-124.8950657599195,139.0,152.0,232.0,210.0,400.0,320.0,11
139,108.0,45.0,-119.23769231299366,118.0,189.0,232.0,244.0,310.0,323.0,7
140,22.0,18.0,-124.8429240912242,162.0,115.0,215.0,214.0,380.0,389.0,11
141,174.0,61.0,-119.67122032503286,128.0,189.0,281.0,216.0,386.0,365.0,7
142,108.0,30.0,-120.8437875081662,137.0,187.0,211.0,215.0,383.0,382.0,8
143,71.0,55.0,-119.8681555054849,166.0,188.0,210.0,211.0,356.0,347.0,7
144,148.0,7.0,-123.0749498920429,188.0,161.0,241.0,262.0,372.0,309.0,9
145,24.0,2.0,-125.49804710606293,179.0,200.0,270.0,298.0,310.0,380.0,12
146,70.0,11.0,-123.35388029703216,186.0,174.0,262.0,205.0,395.0,398.0,9
147,40.0,30.0,-123.3926472773455,195.0,142.0,300.0,265.0,354.0,351.0,9
148,154.0,107.0,-112.52158556296432,114.0,187.0,257.0,238.0,322.0,381.0,7
149,100.0,98.0,-110.8402524936594,171.0,129.0,298.0,229.0,320.0,357.0,7
150,129.0,49.0,-118.69354788880013,172.0,186.0,290.0,258.0,313.0,399.0,7
151,53.0,79.0,-119.54680346358674,115.0,188.0,289.0,279.0,390.0,352.0,7
152,56.0,28.0,-122.74553036754298,191.0,178.0,219.0,251.0,350.0,377.0,8
153,113.0,84.0,-112.70016404038536,188.0,140.0,273.0,268.0,302.0,321.0,7
154,123.0,86.0,-112.03901005637636,172.0,146.0,276.0,242.0,374.0,310.0,7
155,112.0,64.0,-116.58724493830266,159.0,113.0,289.0,249.0,305.0,322.0,7
156,32.0,39.0,-123.33170254998667,194.0,183.0,223.0,221.0,308.0,395.0,9
157,131.0,105.0,-106.52211714998032,180.0,158.0,241.0,236.0,314.0,304.0,7
158,168.0,75.0,-117.90410737493865,194.0,125.0,277.0,284.0,371.0,302.0,7
159,106.0,24.0,-121.4406487603206,109.0,172.0,260.0,295.0,343.0,350.0,8
160,45.0,87.0,-119.925160733968,175.0,164.0,220.0,207.0,353.0,360.0,7
161,120.0,17.0,-121.97678083502376,200.0,109.0,242.0,294.0,342.0,311.0,8
162,176.0,38.0,-121.62967090134804,107.0,191.0,214.0,288.0,398.0,316.0,8
163,116.0,14.0,-122.24270844669633,149.0,119.0,213.0,287.0,300.0,394.0,8
164,147.0,106.0,-110.90282502386412,187.0,166.0,228.0,290.0,383.0,377.0,7
165,105.0,39.0,-119.96885647034316,105.0,152.0,257.0,258.0,367.0,394.0,7
166,190.0,61.0,-120.88644242357664,176.0,193.0,268.0,213.0,380.0,348.0,8
167,13.0,10.0,-125.57710442680212,155.0,133.0,218.0,276.0,353.0,341.0,12
168,63.0,33.0,-122.07323548284307,104.0,195.0,246.0,200.0,328.0,313.0,8
169,54.0,6.0,-124.2005201822988,171.0,152.0,293.0,273.0,363.0,381.0,10
170,30.0,21.0,-124.34163549786648,178.0,151.0,272.0,206.0,317.0,315.0,10
171,88.0,79.0,-115.84433807044084,155.0,123.0,281.0,283.0,308.0,400.0,7
172,118.0,71.0,-115.30012243836596,112.0,131.0,283.0,203.0,332.0,394.0,7
173,103.0,14.0,-122.35306080584589,152.0,177.0,294.0,240.0,356.0,312.0,8
174,76.0,94.0,-115.68589611538368,196.0,157.0,236.0,228.0,316.0,302.0,7
175,41.0,33.0,-123.17312195404767,186.0,140.0,224.0,270.0,361.0,354.0,9
176,174.0,23.0,-122.63950410530828,151.0,132.0,219.0,209.0,387.0,362.0,8
177,48.0,64.0,-120.892200228644,128.0,106.0,299.0,274.0,388.0,337.0,8
178,90.0,40.0,-120.30075479733092,149.0,140.0,294.0,202.0,365.0,395.0,7
179,183.0,77.0,-119.23288795944433,120.0,134.0,275.0,230.0,314.0,336.0,7
180,119.0,106.0,-104.126497177834,172.0,193.0,240.0,292.0,369.0,368.0,7
181,77.0,99.0,-115.0943331632601,172.0,111.0,257.0,225.0,372.0,382.0,7
182,51.0,55.0,-121.23891092358149,173.0,148.0,251.0,204.0,366.0,378.0,8
183,35.0,90.0,-120.78223729551492,135.0,118.0,265.0,267.0,355.0,316.0,8
184,62.0,31.0,-122.26346151965568,140.0,161.0,272.0,202.0,387.0,358.0,8
185,8.0,61.0,-123.84187637182352,111.0,107.0,281.0,260.0,313.0,334.0,9
186,5.0,51.0,-124.36227154962478,188.0,126.0,293.0,253.0,359.0,381.0,10
187,157.0,69.0,-117.52293112719951,190.0,121.0,281.0,212.0,393.0,378.0,7
188,152.0,62.0,-117.98064206430158,183.0,130.0,271.0,264.0,317.0,364.0,7
189,4.0,11.0,-125.90686733507746,115.0,136.0,272.0,206.0,362.0,309.0,12
190,145.0,43.0,-119.79735348157504,128.0,123.0,219.0,213.0,395.0,367.0,7
191,72.0,109.0,-115.34471773026644,108.0,101.0,218.0,227.0,394.0,303.0,7
192,12.0,103.0,-122.51725552467032,165.0,105.0,234.0,260.0,312.0,334.0,8
193,58.0,104.0,-117.7043467272957,180.0,153.0,279.0,261.0,354.0,300.0,7
194,14.0,62.0,-123.42255192612028,171.0,108.0,270.0,225.0,328.0,394.0,9
195,71.0,83.0,-117.3340845850008,194.0,104.0,251.0,258.0,314.0,336.0,7
196,74.0,102.0,-115.37693586354791,161.0,160.0,300.0,220.0,337.0,319.0,7
197,137.0,50.0,-118.74786623361132,184.0,132.0,285.0,207.0,375.0,327.0,7
198,77.0,31.0,-121.6134780231711,117.0,184.0,231.0,268.0,369.0,361.0,8
199,94.0,83.0,-114.58984577543232,149.0,153.0,293.0,284.0,314.0,322.0,7
200,103.0,0.0,-123.4455846087462,157.0,122.0,299.0,280.0,346.0,393.0,9
201,14.0,74.0,-123.01931792508049,172.0,106.0,217.0,238.0,378.0,375.0,9
202,49.0,54.0,-121.44013556655534,128.0,178.0,218.0,283.0,367.0,317.0,8
203,121.0,28.0,-120.9595142171262,143.0,121.0,297.0,231.0,352.0,396.0,8
204,87.0,43.0,-120.12421855631072,102.0,135.0,256.0,226.0,361.0,353.0,7
205,151.0,93.0,-113.65201324311764,145.0,180.0,234.0,277.0,341.0,336.0,7
206,15.0,73.0,-122.97945935946018,191.0,128.0,274.0,236.0,350.0,362.0,9
207,133.0,65.0,-116.5629480241958,109.0,179.0,214.0,267.0,344.0,391.0,7
208,72.0,88.0,-116.77368529011903,108.0,150.0,300.0,272.0,320.0,394.0,7
209,137.0,40.0,-119.8928831740014,128.0,135.0,251.0,264.0,309.0,324.0,7
210,128.0,40.0,-119.74232942128026,186.0,112.0,259.0,271.0,376.0,340.0,7
211,144.0,62.0,-117.50052053675503,158.0,194.0,253.0,287.0,310.0,326.0,7
212,131.0,59.0,-117.39691626399492,109.0,164.0,296.0,249.0,332.0,340.0,7
213,19.0,49.0,-123.61703666033333,148.0,113.0,258.0,295.0,355.0,339.0,9
214,60.0,97.0,-117.738664650365,148.0,138.0,230.0,297.0,373.0,300.0,7
215,170.0,33.0,-121.72682087963634,155.0,145.0,274.0,251.0,370.0,304.0,8
216,165.0,99.0,-115.3413983352308,187.0,131.0,237.0,259.0,301.0,305.0,7
217,77.0,0.0,-123.90309178132722,163.0,188.0,238.0,262.0,352.0,386.0,10
218,104.0,44.0,-119.43943616680376,126.0,170.0,264.0,256.0,360.0,341.0,7
219,43.0,25.0,-123.53138103821442,191.0,103.0,275.0,211.0,390.0,339.0,9
220,16.0,28.0,-124.67591393503908,192.0,155.0,296.0,298.0,388.0,332.0,11
221,33.0,62.0,-122.12088324832216,114.0,104.0,270.0,211.0,353.0,390.0,8
222,149.0,46.0,-119.6291226437391,198.0,141.0,281.0,242.0,383.0,312.0,7
223,120.0,74.0,-114.72315078652844,126.0,200.0,282.0,270.0,392.0,397.0,7
224,162.0,108.0,-114.16871122020356,197.0,187.0,280.0,248.0,326.0,324.0,7
225,132.0,97.0,-109.53730581372167,197.0,147.0,256.0,211.0,319.0,320.0,7
226,172.0,39.0,-121.3496942489504,115.0,169.0,213.0,222.0,380.0,393.0,8
227,141.0,45.0,-119.4501238384311,150.0,100.0,276.0,298.0,365.0,363.0,7
228,179.0,63.0,-119.89790584196606,114.0,111.0,233.0,235.0,337.0,383.0,7
229,63.0,4.0,-124.02884970494785,118.0,131.0,225.0,214.0,397.0,336.0,10
230,186.0,55.0,-120.99574490307889,160.0,103.0,230.0,266.0,355.0,390.0,8
231,145.0,4.0,-123.24801134481145,172.0,110.0,217.0,218.0,316.0,385.0,9
232,135.0,83.0,-113.4254392348878,199.0,150.0,297.0,257.0,307.0,378.0,7
233,98.0,65.0,-117.00805437645108,173.0,177.0,277.0,237.0,399.0,337.0,7
234,31.0,9.0,-124.89517327371416,105.0,144.0,265.0,299.0,388.0,358.0,11
235,153.0,99.0,-113.19003120476798,141.0,182.0,293.0,210.0,309.0,355.0,7
236,40.0,6.0,-124.702627444017,199.0,133.0,254.0,201.0,360.0,392.0,11
237,71.0,17.0,-122.90281414949376,115.0,131.0,228.0,251.0,374.0,400.0,8
238,175.0,33.0,-121.95486278949728,150.0,174.0,238.0,269.0,400.0,342.0,8
239,177.0,5.0,-123.95009211093408,112.0,149.0,247.0,205.0,338.0,331.0,10
240,7.0,84.0,-123.252456494812,111.0,153.0,251.0,268.0,306.0,316.0,9
241,120.0,17.0,-121.97678083502376,115.0,121.0,295.0,262.0,378.0,390.0,8
242,107.0,56.0,-117.88030796066238,149.0,147.0,237.0,234.0,396.0,400.0,7
243,34.0,75.0,-121.4500977761397,147.0,117.0,285.0,267.0,385.0,392.0,8
244,116.0,56.0,-117.71180538829871,133.0,135.0,227.0,270.0,375.0,361.0,7
245,4.0,89.0,-123.3631804813978,135.0,173.0,255.0,213.0,359.0,343.0,9
246,118.0,1.0,-123.27970034335316,108.0,198.0,276.0,271.0,336.0,333.0,9
247,160.0,80.0,-116.5408996447686,136.0,160.0,261.0,209.0,359.0,326.0,7
248,157.0,83.0,-115.8366793550652,159.0,149.0,261.0,206.0,362.0,342.0,7
249,3.0,77.0,-123.70162187684878,159.0,104.0,289.0,200.0,360.0,388.0,9
250,114.0,100.0,-107.67595754888708,129.0,198.0,267.0,215.0,309.0,306.0,7
251,171.0,103.0,-116.05321194470748,121.0,126.0,217.0,222.0,345.0,325.0,7
252,93.0,27.0,-121.4268696549691,142.0,107.0,283.0,286.0,345.0,328.0,8
253,133.0,71.0,-115.58319959687516,141.0,196.0,295.0,206.0,354.0,400.0,7
254,54.0,22.0,-123.22128489876329,102.0,139.0,231.0,248.0,308.0,322.0,9
255,88.0,65.0,-117.65348948211678,144.0,189.0,265.0,296.0,375.0,352.0,7
256,153.0,8.0,-123.10042458606944,176.0,131.0,289.0,204.0,398.0,304.0,9
257,184.0,56.0,-120.78648091142972,141.0,172.0,227.0,204.0,393.0,353.0,8
258,56.0,0.0,-124.48790655567008,184.0,180.0,207.0,207.0,364.0,316.0,10
259,189.0,7.0,-124.2283610254249,150.0,196.0,267.0,252.0,376.0,306.0,10
260,79.0,65.0,-118.33012662049391,121.0,125.0,249.0,295.0,343.0,325.0,7
261,108.0,1.0,-123.32554832557054,145.0,115.0,231.0,235.0,333.0,380.0,9
262,163.0,97.0,-115.18037614606904,158.0,100.0,291.0,249.0,304.0,359.0,7
263,8.0,12.0,-125.70146846982531,157.0,138.0,287.0,244.0,360.0,370.0,12
264,142.0,64.0,-117.11971093324748,186.0,145.0,223.0,284.0,375.0,396.0,7
265,108.0,30.0,-120.8437875081662,106.0,169.0,224.0,244.0,327.0,378.0,8
266,17.0,5.0,-125.63128038166158,195.0,145.0,216.0,229.0,328.0,388.0,12
267,0.0,37.0,-125.12215136235764,167.0,106.0,276.0,217.0,390.0,336.0,11
268,82.0,52.0,-119.4714316949832,108.0,146.0,233.0,299.0,329.0,391.0,7
269,126.0,106.0,-104.77038471102344,105.0,150.0,273.0,258.0,375.0,345.0,7
270,38.0,108.0,-120.02204223298436,101.0,157.0,273.0,298.0,388.0,327.0,7
271,91.0,43.0,-119.96168631993925,153.0,145.0,209.0,291.0,395.0,330.0,7
272,176.0,86.0,-117.85499818283034,167.0,194.0,220.0,240.0,314.0,384.0,7
273,77.0,60.0,-118.98877246218709,161.0,108.0,287.0,243.0,346.0,360.0,7
274,133.0,105.0,-107.09364143003496,108.0,191.0,292.0,249.0,385.0,374.0,7
275,25.0,45.0,-123.43885299013084,140.0,127.0,280.0,247.0,357.0,348.0,9
276,7.0,79.0,-123.37457543494132,126.0,105.0,250.0,238.0,400.0,325.0,9
277,159.0,61.0,-118.56767020581034,155.0,121.0,235.0,229.0,349.0,373.0,7
278,142.0,58.0,-117.926154218825,194.0,180.0,222.0,219.0,360.0,302.0,7
279,118.0,10.0,-122.57116427347135,153.0,135.0,281.0,284.0,353.0,314.0,8
280,127.0,95.0,-109.56787613948158,118.0,198.0,252.0,216.0,335.0,333.0,7
281,48.0,69.0,-120.59297109979758,177.0,166.0,214.0,272.0,349.0,349.0,8
282,183.0,1.0,-124.38171141539692,133.0,131.0,233.0,201.0,390.0,313.0,10
283,113.0,8.0,-122.75050098576531,166.0,127.0,295.0,298.0,383.0,391.0,8
284,21.0,55.0,-123.24246023825526,186.0,156.0,285.0,206.0,310.0,333.0,9
285,88.0,84.0,-115.15624371993108,195.0,130.0,256.0,273.0,359.0,347.0,7
286,171.0,8.0,-123.57136427295428,131.0,119.0,234.0,283.0,356.0,374.0,9
287,159.0,85.0,-115.8464623372542,107.0,146.0,283.0,297.0,348.0,311.0,7
288,156.0,110.0,-112.75080303155563,154.0,196.0,213.0,204.0,347.0,305.0,7
289,71.0,99.0,-116.06206160682773,104.0,159.0,227.0,234.0,316.0,324.0,7
290,70.0,28.0,-122.132951934054,124.0,100.0,264.0,212.0,388.0,304.0,8
291,26.0,5.0,-125.28289464349044,189.0,165.0,217.0,286.0,368.0,398.0,11
292,72.0,66.0,-118.79632640352622,102.0,133.0,280.0,247.0,379.0,317.0,7
293,91.0,45.0,-119.7551656844914,112.0,138.0,215.0,281.0,333.0,314.0,7
294,54.0,53.0,-121.16776691637654,183.0,166.0,274.0,297.0,336.0,321.0,8
295,12.0,110.0,-122.44427910496012,189.0,180.0,277.0,206.0,305.0,302.0,8
296,91.0,97.0,-112.79703292357446,131.0,180.0,202.0,250.0,396.0,328.0,7
297,147.0,21.0,-121.93636283948688,110.0,161.0,248.0,282.0,353.0,366.0,8
298,61.0,108.0,-117.14951262639792,175.0,130.0,290.0,283.0,387.0,385.0,7
299,184.0,16.0,-123.49820949059028,101.0,197.0,256.0,210.0,304.0,317.0,9
